team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,7.0,12.0,11.0,1.7,1.6,1.8,2.0,9.0,10.0,5.0,0,174.0,65.0,297.6,134.3,935.8,679.8,873.4,395.7,1173.0,264.0,692.0,482.0,24.9,9.3,29.0,9.0,42.5,19.2,49.5,18.9,133.7,97.1,161.9,92.1,124.8,56.5,142.1,57.2,167.6,37.7,192.0,38.8,98.9,68.9,111.4,64.6
2,7.0,8.0,11.0,1.1,1.6,1.2,1.2,6.0,6.0,5.0,0,157.0,116.0,287.1,136.1,751.6,706.4,963.9,402.4,1160.0,258.0,610.0,605.0,22.4,16.6,19.2,18.8,41.0,19.4,37.4,18.8,107.4,100.9,90.8,98.6,137.7,57.5,128.8,52.2,165.7,36.9,155.6,38.2,87.1,86.4,73.8,91.2
3,7.0,13.0,12.0,1.9,1.7,2.0,2.0,10.0,10.0,5.0,0,188.0,69.0,336.3,134.0,993.8,703.2,953.7,435.6,1415.0,201.0,803.0,531.0,26.9,9.9,29.2,9.2,48.0,19.1,53.4,19.5,142.0,100.5,162.1,105.5,136.2,62.2,146.8,58.5,202.1,28.7,225.6,30.4,114.7,75.9,132.6,73.6
4,7.0,5.0,10.0,0.7,1.4,0.2,1.8,1.0,9.0,5.0,0,204.0,147.0,270.2,89.4,919.0,589.6,814.5,189.4,970.0,115.0,695.0,665.0,29.1,21.0,33.6,26.4,38.6,12.8,45.4,12.1,131.3,84.2,157.6,82.9,116.4,27.1,137.6,24.8,138.6,16.4,159.0,13.0,99.3,95.0,115.4,107.6
5,7.0,10.0,9.0,1.4,1.3,1.2,1.4,6.0,7.0,5.0,0,172.0,100.0,271.2,101.7,803.8,628.0,839.4,270.5,1077.0,118.0,663.0,587.0,24.6,14.3,25.4,16.6,38.7,14.5,39.8,13.2,114.8,89.7,117.1,86.9,119.9,38.6,126.4,35.4,153.9,16.9,155.2,9.4,94.7,83.9,101.2,89.4
6,7.0,14.0,13.0,2.0,1.9,2.6,1.6,13.0,8.0,5.0,0,172.0,100.0,208.5,129.5,838.0,895.0,553.3,226.5,697.0,169.0,624.0,640.0,24.6,14.3,19.8,10.6,29.8,18.5,25.7,18.9,119.7,127.9,104.2,124.6,79.0,32.4,70.5,33.3,99.6,24.1,82.4,30.2,89.1,91.4,78.2,83.8
7,7.0,6.0,7.0,0.9,1.0,1.2,1.2,6.0,6.0,5.0,0,128.0,161.0,226.0,140.2,627.4,774.6,702.4,350.2,935.0,278.0,427.0,722.0,18.3,23.0,20.8,14.2,32.3,20.0,35.8,18.3,89.6,110.7,107.4,101.9,100.3,50.0,102.6,55.4,133.6,39.7,148.8,26.0,61.0,103.1,72.6,83.6
8,7.0,6.0,12.0,0.9,1.7,1.0,2.4,5.0,12.0,5.0,0,179.0,158.0,231.8,117.1,859.0,819.6,577.9,189.0,882.0,162.0,651.0,708.0,25.6,22.6,30.0,23.8,33.1,16.7,36.7,18.2,122.7,117.1,146.8,128.5,82.6,27.0,85.3,31.3,126.0,23.1,134.6,21.8,93.0,101.1,109.4,108.2
9,7.0,13.0,5.0,1.9,0.7,2.4,0.8,12.0,4.0,5.0,0,126.0,106.0,175.4,105.1,637.2,655.6,604.3,219.2,523.0,174.0,480.0,623.0,18.0,15.1,18.2,11.4,25.1,15.0,22.9,15.4,91.0,93.7,90.1,95.9,86.3,31.3,78.8,30.3,74.7,24.9,61.8,27.4,68.6,89.0,72.8,82.4
10,7.0,18.0,5.0,2.6,0.7,2.4,0.6,12.0,3.0,5.0,0,110.0,53.0,163.0,133.4,540.2,799.8,526.6,308.5,574.0,225.0,409.0,502.0,15.7,7.6,14.8,9.4,23.3,19.1,20.6,19.8,77.2,114.3,71.4,117.2,75.2,44.1,68.2,49.9,82.0,32.1,68.6,30.6,58.4,71.7,50.8,73.2
