team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,ARS,34,52.0,40.0,1.5,1.2,1.8,1.8,9.0,9.0,5,0,685.0,492.0,996.2,527.0,3319.6,3234.6,2997.2,1113.9,3662.0,921.0,2598.0,2771.0,20.2,14.5,34.6,29.0,29.3,15.5,40.7,27.6,97.6,95.1,157.8,175.1,88.2,32.8,127.6,41.6,107.7,27.1,122.6,59.2,76.4,81.5,130.0,147.0
2,AVL,34,42.0,46.0,1.2,1.4,0.2,1.4,1.0,7.0,5,0,798.0,539.0,1136.7,573.8,3679.2,3439.2,3321.5,1219.4,4388.0,1081.0,2820.0,2945.0,23.5,15.8,21.8,26.6,33.4,16.9,20.9,12.1,108.2,101.2,80.0,89.2,97.7,35.9,47.7,19.7,129.1,31.8,82.2,12.4,82.9,86.6,66.6,99.2
3,BRE,34,41.0,49.0,1.2,1.4,1.8,0.8,9.0,4.0,5,0,766.0,587.0,1089.2,585.8,3561.2,3347.8,3639.0,1272.9,3695.0,1237.0,2880.0,2989.0,22.5,17.3,18.0,17.2,32.0,17.2,30.7,21.1,104.7,98.5,88.1,125.8,107.0,37.4,111.3,44.5,108.7,36.4,108.6,40.0,84.7,87.9,80.0,105.4
4,BHA,34,31.0,42.0,0.9,1.2,1.0,1.2,5.0,6.0,5,0,939.0,777.0,1284.4,636.9,4242.0,3715.4,3596.6,1340.3,5014.0,1310.0,3305.0,3515.0,27.6,22.8,27.2,16.4,37.8,18.7,36.0,14.4,124.8,109.3,106.0,85.7,105.8,39.4,101.0,29.5,147.5,38.5,153.6,28.4,97.2,103.4,83.4,85.0
5,BUR,34,29.0,45.0,0.8,1.3,1.4,1.4,7.0,7.0,5,0,912.0,725.0,1456.1,649.7,4081.8,3500.4,4594.3,1489.5,5898.0,1498.0,3389.0,3395.0,26.8,21.3,30.0,21.0,42.8,19.1,51.9,21.6,120.0,103.0,132.4,124.6,135.1,43.8,169.4,52.4,173.5,44.1,217.8,37.8,99.7,99.8,114.2,105.2
6,CHE,34,68.0,28.0,2.0,0.8,2.2,1.8,11.0,9.0,5,0,556.0,354.0,808.5,500.5,2524.8,3150.2,2412.2,989.3,3170.0,861.0,2017.0,2337.0,16.4,10.4,15.2,5.6,23.8,14.7,18.8,9.4,74.3,92.6,69.4,73.6,71.0,29.1,45.5,8.5,93.2,25.3,73.0,11.8,59.3,68.7,51.2,43.0
7,CRY,34,43.0,41.0,1.3,1.2,0.8,0.6,4.0,3.0,5,0,751.0,624.0,1034.4,552.2,3348.4,3280.6,2947.9,1276.2,4076.0,965.0,2574.0,2935.0,22.1,18.4,23.8,19.6,30.4,16.2,31.3,16.1,98.5,96.5,105.6,98.0,86.7,37.5,89.2,40.4,119.9,28.4,121.2,22.2,75.7,86.3,76.0,88.8
8,EVE,34,34.0,55.0,1.0,1.6,1.0,1.6,5.0,8.0,5,0,764.0,698.0,1117.2,607.4,3732.2,3599.8,3254.7,1327.5,4193.0,1143.0,2904.0,3176.0,22.5,20.5,22.8,17.6,32.9,17.9,31.2,19.7,109.8,105.9,95.1,110.2,95.7,39.0,98.7,37.9,123.3,33.6,119.2,48.6,85.4,93.4,83.6,86.0
9,LEI,34,47.0,51.0,1.4,1.5,1.4,1.2,7.0,6.0,5,0,806.0,510.0,1335.6,652.6,4034.0,3514.2,4144.8,1403.5,5186.0,1609.0,3099.0,2951.0,23.7,15.0,19.4,11.4,39.3,19.2,34.5,15.4,118.6,103.4,90.1,81.0,121.9,41.3,109.7,40.0,152.5,47.3,144.8,33.4,91.2,86.8,73.0,74.8
10,LEE,34,38.0,68.0,1.1,2.0,1.4,0.6,7.0,3.0,5,0,933.0,699.0,1340.8,628.6,4590.0,3638.2,3742.5,1408.6,5088.0,1236.0,3211.0,3188.0,27.4,20.6,15.2,12.2,39.4,18.5,28.4,13.1,135.0,107.0,78.0,71.4,110.1,41.4,96.9,28.5,149.6,36.4,111.8,30.4,94.4,93.8,51.4,68.2
11,LIV,34,85.0,22.0,2.5,0.6,2.0,0.4,10.0,2.0,5,0,559.0,231.0,828.8,460.5,2830.6,3412.2,2324.4,711.2,3132.0,480.0,2181.0,2170.0,16.4,6.8,20.4,5.4,24.4,13.5,31.8,12.5,83.2,100.4,103.4,90.5,68.4,20.9,89.0,27.2,92.1,14.1,126.4,8.0,64.2,63.8,83.0,69.6
12,MCI,34,80.0,21.0,2.4,0.6,2.4,0.6,12.0,3.0,5,0,550.0,320.0,658.7,445.4,2448.0,3397.8,1885.0,556.2,2273.0,491.0,2003.0,2350.0,16.2,9.4,8.6,2.8,19.4,13.1,9.7,6.2,72.0,99.9,42.9,44.8,55.4,16.4,28.0,9.0,66.8,14.4,25.8,8.0,58.9,69.1,30.8,26.6
13,MUN,34,54.0,52.0,1.6,1.5,1.2,2.4,6.0,12.0,5,0,908.0,625.0,1378.0,682.4,4506.4,4116.4,4142.0,1377.3,5131.0,1317.0,3470.0,3477.0,26.7,18.4,41.4,32.0,40.5,20.1,59.6,27.7,132.5,121.1,195.6,151.8,121.8,40.5,187.4,68.2,150.9,38.7,213.0,56.4,102.1,102.3,160.6,148.8
14,NEW,34,40.0,55.0,1.2,1.6,1.6,1.2,8.0,6.0,5,0,827.0,620.0,1286.8,656.7,3977.6,3734.6,3972.3,1547.4,4922.0,1287.0,3148.0,3084.0,24.3,18.2,24.0,17.0,37.8,19.3,35.5,19.3,117.0,109.8,110.8,121.4,116.8,45.5,122.2,30.7,144.8,37.8,122.4,40.8,92.6,90.7,91.8,93.4
15,NOR,34,22.0,69.0,0.6,2.0,0.8,1.2,4.0,6.0,5,0,958.0,850.0,1477.1,616.3,4551.6,3253.4,4474.0,1472.8,5773.0,1436.0,3594.0,3584.0,28.2,25.0,14.2,13.8,43.4,18.1,26.0,10.5,133.9,95.7,66.5,53.2,131.6,43.3,99.6,27.4,169.8,42.2,96.6,24.0,105.7,105.4,57.8,63.2
16,SOU,34,40.0,56.0,1.2,1.6,0.8,2.2,4.0,11.0,5,0,804.0,613.0,1204.4,651.9,3904.4,4039.0,3365.5,1326.4,4768.0,1148.0,3017.0,3125.0,23.6,18.0,40.4,25.6,35.4,19.2,60.6,26.6,114.8,118.8,198.4,159.8,99.0,39.0,159.4,59.2,140.2,33.8,248.4,46.8,88.7,91.9,148.8,126.4
17,TOT,34,56.0,38.0,1.6,1.1,2.4,0.6,12.0,3.0,5,0,691.0,530.0,1140.1,591.7,3418.2,3488.6,3510.3,1360.9,4499.0,1058.0,2730.0,3144.0,20.3,15.6,20.4,15.4,33.5,17.4,30.9,17.9,100.5,102.6,87.3,95.9,103.2,40.0,106.2,36.1,132.3,31.1,119.0,46.2,80.3,92.5,73.8,97.4
18,WAT,34,31.0,67.0,0.9,2.0,0.4,2.4,2.0,12.0,5,0,1010.0,769.0,1408.0,666.0,4761.2,3675.4,4207.4,1628.9,5130.0,1346.0,3827.0,3578.0,29.7,22.6,30.8,20.4,41.4,19.6,40.4,15.6,140.0,108.1,153.6,85.0,123.8,47.9,114.3,40.5,150.9,39.6,137.0,30.4,112.6,105.2,120.6,84.8
19,WHU,34,52.0,44.0,1.5,1.3,0.8,1.6,4.0,8.0,5,0,757.0,457.0,1184.7,560.6,3599.4,3202.6,3534.8,1451.5,4721.0,948.0,2999.0,2729.0,22.3,13.4,15.0,9.2,34.8,16.5,18.6,6.8,105.9,94.2,61.9,28.0,104.0,42.7,50.9,22.8,138.8,27.9,73.0,16.6,88.2,80.3,54.2,42.6
20,WOL,34,33.0,29.0,1.0,0.8,0.8,1.2,4.0,6.0,5,0,721.0,653.0,1199.8,523.6,3366.0,2976.0,3719.0,1205.8,4937.0,1053.0,2704.0,3181.0,21.2,19.2,18.6,17.6,35.3,15.4,28.4,13.2,99.0,87.5,90.7,74.0,109.4,35.5,88.7,21.9,145.2,31.0,105.6,36.6,79.5,93.6,68.2,77.6
