team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,23,47.0,21.0,2.0,0.9,1.4,1.4,7.0,7.0,5,0,415.0,214.0,565.4,325.3,1943.8,2279.2,1714.3,540.8,2001.0,424.0,1484.0,1551.0,18.0,9.3,22.2,23.0,24.6,14.1,32.6,21.5,84.5,99.1,115.6,139.3,74.5,23.5,109.3,35.4,87.0,18.4,101.0,39.6,64.5,67.4,78.4,107.2,822.0,473.0,35.7,20.6,1254.3,340.4,54.5,14.8,3815.6,2028.4,165.9,88.2,3725.9,755.9,162.0,32.9,5007.0,618.0,217.7,26.9,2975.0,2221.0,129.4,96.6
2,AVL,23,26.0,34.0,1.1,1.5,1.4,1.8,7.0,9.0,5,0,601.0,370.0,798.5,334.1,2671.2,2154.2,2323.5,638.9,3008.0,545.0,2074.0,1940.0,26.1,16.1,38.4,9.4,34.7,14.5,48.3,14.9,116.1,93.7,185.3,110.6,101.0,27.8,149.6,14.8,130.8,23.7,150.2,24.2,90.2,84.4,138.8,73.2,474.0,310.0,20.6,13.5,637.0,307.7,27.7,13.4,2112.2,1952.4,91.8,84.9,1910.5,744.1,83.1,32.4,2348.0,382.0,102.1,16.6,1688.0,1693.0,73.4,73.6
3,BOU,23,20.0,44.0,0.9,1.9,0.4,1.6,2.0,8.0,5,0,637.0,560.0,945.7,428.4,2895.6,2268.4,3018.2,1063.9,3551.0,948.0,2294.0,2484.0,27.7,24.4,30.0,24.6,41.1,18.6,41.4,16.6,125.9,98.6,130.5,95.2,131.2,46.3,127.7,46.2,154.4,41.2,157.4,24.6,99.7,108.0,100.2,104.6,477.0,263.0,20.7,11.4,613.3,296.6,26.7,12.9,2309.4,2151.0,100.4,93.5,1734.9,531.8,75.4,23.1,2093.0,278.0,91.0,12.1,1725.0,1632.0,75.0,71.0
4,BRE,23,36.0,29.0,1.6,1.3,1.8,0.4,9.0,2.0,5,0,481.0,328.0,822.3,399.0,2371.0,2124.6,2638.8,1103.9,3227.0,757.0,1829.0,1877.0,20.9,14.3,12.8,9.6,35.8,17.4,22.3,13.0,103.1,92.4,61.3,68.6,114.7,48.0,81.1,33.5,140.3,32.9,80.6,28.4,79.5,81.6,54.4,62.2,573.0,445.0,24.9,19.4,700.7,355.0,30.5,15.4,2547.2,2392.8,110.8,104.0,1933.8,521.6,84.1,22.7,2530.0,623.0,110.0,27.1,2023.0,2079.0,88.0,90.4
5,BHA,23,39.0,28.0,1.7,1.2,2.2,0.8,11.0,4.0,5,0,486.0,261.0,607.3,297.1,2197.0,1939.0,1676.3,556.9,2208.0,471.0,1764.0,1561.0,21.1,11.4,17.6,8.8,26.4,12.9,21.8,15.6,95.5,84.3,76.0,110.7,72.9,24.2,67.3,27.9,96.0,20.5,75.2,17.6,76.7,67.9,62.0,71.0,554.0,329.0,24.1,14.3,806.1,277.1,35.0,12.0,2576.2,1700.4,112.0,73.9,2626.5,653.1,114.2,28.4,2860.0,414.0,124.4,18.0,2055.0,1671.0,89.4,72.6
6,CHE,23,23.0,22.0,1.0,1.0,0.6,0.8,3.0,4.0,5,0,512.0,457.0,728.1,372.9,2373.8,2388.8,2227.3,724.7,2701.0,607.0,1725.0,2095.0,22.3,19.9,33.8,36.4,31.7,16.2,44.9,23.6,103.2,103.9,153.7,167.1,96.8,31.5,145.4,34.8,117.4,26.4,151.6,33.6,75.0,91.1,108.0,152.0,445.0,435.0,19.4,18.9,673.9,397.4,29.3,17.3,1981.2,2465.0,86.1,107.2,2252.2,819.4,97.9,35.6,2508.0,678.0,109.0,29.5,1562.0,2193.0,67.9,95.4
7,CRY,23,20.0,30.0,0.9,1.3,0.6,1.8,3.0,9.0,5,0,623.0,491.0,907.9,436.1,2800.2,2486.8,2816.6,1096.4,3476.0,773.0,2204.0,2340.0,27.1,21.4,42.0,36.2,39.5,19.0,62.2,32.2,121.8,108.1,211.1,183.9,122.5,47.7,194.2,87.6,151.1,33.6,216.6,50.0,95.8,101.7,149.8,165.8,488.0,304.0,21.2,13.2,681.2,301.4,29.6,13.1,2288.4,2174.8,99.5,94.6,2211.2,384.7,96.1,16.7,2319.0,448.0,100.8,19.5,1700.0,1693.0,73.9,73.6
8,EVE,23,16.0,30.0,0.7,1.3,0.6,2.0,3.0,10.0,5,0,600.0,450.0,930.4,390.5,2674.0,2069.8,2957.8,1072.4,3688.0,756.0,2069.0,2112.0,26.1,19.6,34.0,22.6,40.4,17.0,41.4,14.0,116.3,90.0,145.6,93.3,128.6,46.6,129.0,30.1,160.4,32.9,139.6,15.8,90.0,91.8,118.4,105.4,374.0,348.0,16.3,15.1,510.5,382.3,22.2,16.6,1618.6,2543.6,70.4,110.6,1774.0,599.3,77.1,26.1,1724.0,672.0,75.0,29.2,1398.0,1868.0,60.8,81.2
9,FUL,23,34.0,30.0,1.5,1.3,1.0,0.6,5.0,3.0,5,0,579.0,373.0,883.8,376.0,2752.8,2184.2,2536.9,860.9,3562.0,720.0,2136.0,2004.0,25.2,16.2,24.4,29.0,38.4,16.4,39.1,21.5,119.7,95.0,104.8,128.7,110.3,37.4,139.4,52.2,154.9,31.3,148.6,33.6,92.9,87.1,93.2,137.6,591.0,381.0,25.7,16.6,820.2,335.3,35.7,14.6,2459.2,2434.2,106.9,105.8,2487.7,614.5,108.2,26.7,3265.0,295.0,142.0,12.8,1995.0,2031.0,86.7,88.3
10,LEI,23,36.0,38.0,1.6,1.6,2.0,1.6,10.0,8.0,5,0,571.0,312.0,785.0,322.9,2559.8,1851.4,2394.0,860.1,2901.0,518.0,2107.0,1812.0,24.8,13.6,20.4,11.2,34.1,14.0,26.4,11.4,111.3,80.5,90.1,66.1,104.1,37.4,90.9,31.4,126.1,22.5,83.6,18.0,91.6,78.8,76.0,70.8,592.0,320.0,25.7,13.9,750.8,310.2,32.6,13.5,2808.0,2119.8,122.1,92.2,2212.0,609.7,96.2,26.5,2496.0,370.0,108.5,16.1,2228.0,1977.0,96.9,86.0
