team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,34,81.0,39.0,2.4,1.2,2.2,2.4,11.0,12.0,5,0,689.0,304.0,933.0,521.2,3307.4,3575.8,2718.0,911.3,3310.0,711.0,2533.0,2393.0,20.3,8.9,29.0,10.4,27.4,15.3,38.8,20.0,97.3,105.2,146.6,116.4,79.9,26.8,102.0,45.6,97.4,20.9,139.2,37.0,74.5,70.4,112.4,74.0,1260.0,695.0,37.1,20.4,1832.0,562.8,53.9,16.6,5838.6,3364.0,171.7,98.9,5583.2,1242.0,164.2,36.5,6906.0,1019.0,203.1,30.0,4590.0,3415.0,135.0,100.4
2,AVL,34,46.0,42.0,1.4,1.2,1.4,0.4,7.0,2.0,5,0,815.0,513.0,1150.5,525.6,3762.6,3484.8,3561.1,1023.5,4216.0,745.0,2774.0,2840.0,24.0,15.1,22.0,15.2,33.8,15.5,38.1,18.4,110.7,102.5,109.8,123.8,104.7,30.1,134.4,40.4,124.0,21.9,138.4,20.0,81.6,83.5,60.6,87.8,809.0,633.0,23.8,18.6,1006.9,500.3,29.6,14.7,3553.0,3160.8,104.5,93.0,3003.4,1209.8,88.3,35.6,3520.0,631.0,103.5,18.6,2815.0,3042.0,82.8,89.5
3,BOU,34,36.0,64.0,1.1,1.9,1.8,1.4,9.0,7.0,5,0,998.0,764.0,1497.5,684.3,4626.2,3560.6,4839.1,1839.2,5522.0,1437.0,3767.0,3704.0,29.4,22.5,24.0,14.8,44.0,20.1,32.0,17.7,136.1,104.7,106.8,100.0,142.3,54.1,91.5,53.5,162.4,42.3,121.2,23.8,110.8,108.9,90.6,91.4,771.0,465.0,22.7,13.7,1004.2,476.1,29.5,14.0,3731.6,3445.6,109.8,101.3,2881.3,783.8,84.7,23.0,3444.0,527.0,101.3,15.5,2810.0,2727.0,82.6,80.2
4,BRE,34,52.0,44.0,1.5,1.3,1.2,1.2,6.0,6.0,5,0,749.0,509.0,1140.4,569.6,3536.8,3192.4,3712.7,1512.5,4177.0,989.0,2733.0,2883.0,22.0,15.0,22.6,15.0,33.5,16.8,28.9,16.4,104.0,93.9,104.9,100.9,109.2,44.5,97.6,43.8,122.8,29.1,86.4,20.0,80.4,84.8,80.4,87.8,868.0,644.0,25.5,18.9,1063.1,537.6,31.3,15.8,3824.6,3599.8,112.5,105.9,3159.0,781.5,92.9,23.0,3659.0,978.0,107.6,28.8,3064.0,3073.0,90.1,90.4
5,BHA,32,62.0,40.0,1.9,1.2,2.2,1.2,11.0,6.0,5,0,684.0,373.0,817.6,446.0,3087.6,3044.2,2311.6,739.5,2789.0,670.0,2425.0,2296.0,21.4,11.7,17.0,7.4,25.6,13.9,19.4,13.4,96.5,95.1,82.3,88.4,72.2,23.1,56.6,25.9,87.2,20.9,55.4,19.8,75.8,71.8,57.2,60.0,900.0,568.0,28.1,17.8,1368.1,466.5,42.8,14.6,4371.4,2672.4,136.6,83.5,4563.2,1215.0,142.6,38.0,4749.0,776.0,148.4,24.2,3464.0,2766.0,108.2,86.4
6,CHE,33,31.0,38.0,0.9,1.2,0.5,2.0,2.0,8.0,4,0,747.0,655.0,1035.9,510.8,3524.0,3308.0,3202.4,968.4,3652.0,824.0,2586.0,2995.0,22.6,19.8,31.0,25.2,31.4,15.5,41.9,13.0,106.8,100.2,146.2,86.6,97.0,29.4,130.8,21.0,110.7,25.0,141.5,22.2,78.4,90.8,105.8,98.8,647.0,604.0,19.6,18.3,1018.2,612.2,30.8,18.6,2986.0,3685.0,90.5,111.7,3552.3,1452.1,107.6,44.0,3668.0,977.0,111.2,29.6,2368.0,3273.0,71.8,99.2
7,CRY,34,35.0,45.0,1.0,1.3,2.2,1.2,11.0,6.0,5,0,818.0,662.0,1156.1,549.4,3659.8,3189.0,3658.1,1351.6,4258.0,947.0,2881.0,3107.0,24.1,19.5,16.4,13.0,34.0,16.2,21.6,10.4,107.6,93.8,79.1,67.9,107.6,39.8,66.4,19.8,125.2,27.8,70.0,16.4,84.7,91.4,54.4,71.4,785.0,486.0,23.1,14.3,1045.9,466.4,30.8,13.7,3616.2,3217.6,106.4,94.6,3453.8,723.5,101.6,21.3,3412.0,712.0,100.4,20.9,2760.0,2705.0,81.2,79.6
8,EVE,34,27.0,52.0,0.8,1.5,0.8,2.2,4.0,11.0,5,0,882.0,643.0,1245.8,563.9,3784.8,3140.4,3972.5,1521.9,4716.0,972.0,3123.0,3113.0,25.9,18.9,32.4,22.2,36.6,16.6,35.7,16.5,111.3,92.4,116.9,101.6,116.8,44.8,126.2,40.0,138.7,28.6,114.4,23.6,91.8,91.6,123.8,101.4,609.0,527.0,17.9,15.5,894.3,575.2,26.3,16.9,2855.0,3800.0,84.0,111.8,3150.9,906.0,92.7,26.6,2952.0,1036.0,86.8,30.5,2279.0,2851.0,67.0,83.8
9,FUL,34,45.0,46.0,1.3,1.4,1.0,1.2,6.0,7.0,6,0,910.0,620.0,1314.3,572.5,4203.6,3391.4,3980.2,1292.9,4977.0,1043.0,3316.0,3202.0,26.8,18.2,25.7,22.2,38.7,16.8,30.7,17.6,123.6,99.8,104.2,105.0,117.1,38.0,107.0,43.2,146.4,30.7,95.8,27.2,97.5,94.2,86.8,100.8,838.0,509.0,24.6,15.0,1094.1,508.6,32.2,15.0,3473.0,3659.2,102.2,107.6,3359.1,1003.0,98.8,29.5,4129.0,414.0,121.4,12.2,2852.0,2904.0,83.9,85.4
10,LEI,34,46.0,59.0,1.4,1.7,1.2,1.6,6.0,8.0,5,0,995.0,614.0,1375.7,559.5,4687.6,3365.0,4334.7,1388.5,4760.0,834.0,3603.0,3191.0,29.3,18.1,25.8,15.4,40.5,16.5,46.1,17.4,137.9,99.0,151.4,117.7,127.5,40.8,159.3,22.8,140.0,24.5,150.8,32.6,106.0,93.8,95.2,78.6,793.0,466.0,23.3,13.7,1072.2,533.8,31.5,15.7,3848.8,3635.8,113.2,106.9,3370.1,1052.0,99.1,30.9,3529.0,647.0,103.8,19.0,3032.0,2916.0,89.2,85.8
