team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,2,3.0,1.0,1.5,0.5,1.5,0.5,3.0,1.0,2,0,34,17,48.0,26.0,143.8,160.2,165.8,52.9,170,47,123,137,63.0,37.0,17.0,8.5,17.0,8.5,31.5,18.5,87.5,19.9,24.0,13.0,24.0,13.0,43.8,10.0,281.8,149.0,71.9,80.1,71.9,80.1,140.9,74.5,328.0,38.3,82.9,26.4,82.9,26.4,164.0,19.2,268.0,13.0,85.0,23.5,85.0,23.5,134.0,6.5,254.0,157.0,61.5,68.5,61.5,68.5,127.0,78.5
2,AVL,2,5.0,5.0,2.5,2.5,2.5,2.5,5.0,5.0,2,0,62,12,72.8,32.8,284.0,180.0,182.7,114.3,263,32,256,150,72.0,36.0,31.0,6.0,31.0,6.0,36.0,18.0,79.6,38.2,36.4,16.4,36.4,16.4,39.8,19.1,296.2,209.2,142.0,90.0,142.0,90.0,148.1,104.6,236.5,109.6,91.4,57.2,91.4,57.2,118.2,54.8,264.0,62.0,131.5,16.0,131.5,16.0,132.0,31.0,254.0,219.0,128.0,75.0,128.0,75.0,127.0,109.5
3,BOU,2,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,2,0,55,23,92.4,42.2,278.8,202.8,282.7,150.6,363,69,207,150,44.0,25.0,27.5,11.5,27.5,11.5,22.0,12.5,62.8,32.4,46.2,21.1,46.2,21.1,31.4,16.2,203.6,249.4,139.4,101.4,139.4,101.4,101.8,124.7,188.2,67.2,141.4,75.3,141.4,75.3,94.1,33.6,239.0,6.0,181.5,34.5,181.5,34.5,119.5,3.0,156.0,163.0,103.5,75.0,103.5,75.0,78.0,81.5
4,BRE,2,5.0,2.0,2.5,1.0,2.5,1.0,5.0,2.0,2,0,33,22,60.4,31.9,159.6,198.2,246.3,63.7,202,58,138,154,69.0,45.0,16.5,11.0,16.5,11.0,34.5,22.5,76.1,39.4,30.2,16.0,30.2,16.0,38.0,19.7,284.4,240.6,79.8,99.1,79.8,99.1,142.2,120.3,146.3,101.9,123.2,31.8,123.2,31.8,73.2,51.0,334.0,50.0,101.0,29.0,101.0,29.0,167.0,25.0,208.0,234.0,69.0,77.0,69.0,77.0,104.0,117.0
5,BHA,2,8.0,2.0,4.0,1.0,4.0,1.0,8.0,2.0,2,0,35,5,45.2,24.5,141.4,105.4,156.6,82.0,152,58,135,147,85.0,32.0,17.5,2.5,17.5,2.5,42.5,16.0,131.9,46.2,22.6,12.2,22.6,12.2,66.0,23.1,478.0,258.0,70.7,52.7,70.7,52.7,239.0,129.0,402.1,107.6,78.3,41.0,78.3,41.0,201.0,53.8,437.0,96.0,76.0,29.0,76.0,29.0,218.5,48.0,333.0,181.0,67.5,73.5,67.5,73.5,166.5,90.5
6,BUR,1,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1,0,43,32,57.1,12.4,191.6,71.8,207.5,23.6,173,29,166,137,12.0,7.0,43.0,32.0,43.0,32.0,12.0,7.0,13.3,13.2,57.1,12.4,57.1,12.4,13.3,13.2,23.6,113.6,191.6,71.8,191.6,71.8,23.6,113.6,63.7,14.1,207.5,23.6,207.5,23.6,63.7,14.1,53.0,4.0,173.0,29.0,173.0,29.0,53.0,4.0,33.0,80.0,166.0,137.0,166.0,137.0,33.0,80.0
7,CHE,2,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,2,0,54,34,63.5,31.6,255.4,234.0,186.7,37.4,193,44,196,146,24.0,33.0,27.0,17.0,27.0,17.0,12.0,16.5,67.6,50.9,31.8,15.8,31.8,15.8,33.8,25.4,177.6,246.6,127.7,117.0,127.7,117.0,88.8,123.3,268.8,145.7,93.4,18.7,93.4,18.7,134.4,72.8,232.0,118.0,96.5,22.0,96.5,22.0,116.0,59.0,128.0,195.0,98.0,73.0,98.0,73.0,64.0,97.5
8,CRY,2,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,2,0,38,43,35.8,13.2,100.2,109.0,136.7,24.0,123,0,113,178,37.0,46.0,19.0,21.5,19.0,21.5,18.5,23.0,83.3,31.3,17.9,6.6,17.9,6.6,41.6,15.6,188.0,174.2,50.1,54.5,50.1,54.5,94.0,87.1,333.1,83.6,68.4,12.0,68.4,12.0,166.6,41.8,310.0,56.0,61.5,0.0,61.5,0.0,155.0,28.0,154.0,194.0,56.5,89.0,56.5,89.0,77.0,97.0
9,EVE,2,0.0,5.0,0.0,2.5,0.0,2.5,0.0,5.0,2,0,73,75,83.6,36.9,325.2,287.4,222.0,68.8,292,13,255,301,26.0,8.0,36.5,37.5,36.5,37.5,13.0,4.0,60.7,25.4,41.8,18.4,41.8,18.4,30.4,12.7,121.6,121.2,162.6,143.7,162.6,143.7,60.8,60.6,238.7,66.2,111.0,34.4,111.0,34.4,119.4,33.1,248.0,65.0,146.0,6.5,146.0,6.5,124.0,32.5,103.0,105.0,127.5,150.5,127.5,150.5,51.5,52.5
10,FUL,2,1.0,3.0,0.5,1.5,0.5,1.5,1.0,3.0,2,0,55,44,88.1,33.1,240.8,185.8,273.8,60.0,368,84,190,185,36.0,42.0,27.5,22.0,27.5,22.0,18.0,21.0,46.4,28.8,44.0,16.6,44.0,16.6,23.2,14.4,129.8,241.4,120.4,92.9,120.4,92.9,64.9,120.7,178.5,33.4,136.9,30.0,136.9,30.0,89.2,16.7,161.0,14.0,184.0,42.0,184.0,42.0,80.5,7.0,134.0,217.0,95.0,92.5,95.0,92.5,67.0,108.5
