element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
4,0,1,4.7,9.1,24.5,16.4,50.08,14.75,3.0,3.5,3.0,6.5,6.4,12.16,16.76,36.0,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,1
2,1,0,3.6,2.8,17.29,0.78,9.79,16.0,1.3,1.3,2.67,1.77,14.0,17.13,0.57,0.0,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,1
2,1,0,1.8,2.7,10.23,8.72,7.95,9.4,0.5,0.5,0.75,1.9,6.25,9.0,7.67,2.25,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,2
3,0,1,3.5,5.0,17.4,15.76,16.65,13.81,3.8,3.8,4.6,5.58,17.0,26.36,18.22,11.0,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,4
3,0,1,3.6,6.11,15.59,17.12,28.28,10.64,2.7,2.7,2.67,3.63,8.5,10.97,7.73,17.5,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,13
4,0,1,6.7,10.07,33.91,20.21,46.58,25.25,8.0,8.0,8.0,9.02,32.6,38.0,23.96,28.2,2,0,1.3,1.2,0.8,0.8,23.7,15.6,24.8,22.6,32.9,15.4,40.9,18.7,108.3,102.4,125.6,132.7,102.2,30.2,143.4,36.5,119.9,21.4,141.4,16.8,80.5,84.4,72.8,103.6,7
2,1,0,3.9,4.06,18.6,6.89,15.0,17.0,2.0,2.5,2.0,4.4,12.83,18.03,8.07,17.83,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,6
4,0,1,4.3,8.27,23.64,9.67,49.95,13.36,0.8,0.8,5.0,5.5,27.0,33.4,0.9,21.0,2,0,0.9,1.8,1.4,2.6,28.7,24.1,36.8,19.2,38.9,18.1,51.6,14.6,137.4,111.6,192.0,78.8,116.5,39.7,153.9,45.1,136.3,28.8,170.4,22.2,104.4,107.5,137.8,91.4,13
3,0,1,4.8,5.68,18.66,12.58,25.53,15.59,2.7,3.2,2.67,3.92,9.67,8.03,17.15,14.0,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,3
2,1,0,2.8,1.69,12.87,2.33,1.6,13.67,1.5,1.5,2.25,2.05,15.25,16.7,3.12,0.5,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,2
