event,bank,event_transfers,event_transfers_cost,overall_rank,points_on_bench,rank,rank_sort,total_points,value,points,predicted_points,points - predicted_points
1,5,0,0,633353,3,633353,687055,75,1000,75,0.0,75.0
2,5,0,0,341549,10,1332211,1372955,147,1002,72,37.83,34.0
3,8,1,0,354373,8,3415356,3451192,199,1008,52,45.18,6.0
4,3,1,0,207234,8,1624594,1643568,276,1013,77,72.01,4.0
5,8,1,0,149291,-1,1180090,1205372,357,1016,81,72.86,8.0
6,1,1,0,486015,4,9205465,9219708,389,1017,32,61.1,-29.0
7,1,2,0,491184,0,8480729,8950716,389,1015,0,0.0,0.0
8,30,0,0,299229,7,1570573,1614813,452,1010,63,76.81,-13.0
9,15,1,0,377143,13,3279733,3307689,531,1014,79,59.72,19.0
10,21,1,0,304060,3,1607759,1638912,603,1016,72,70.44,1.0
11,8,1,0,393595,15,6567815,6610785,646,1018,43,66.56,-23.0
12,31,1,0,391371,9,3144069,3162946,693,1019,47,70.41,-23.0
13,31,0,0,249404,19,901445,925737,760,1018,67,68.14,-1.0
14,7,1,0,334328,5,5322429,5353959,820,1019,60,72.32,-12.0
15,33,2,0,422443,17,5637422,5669050,873,1022,53,69.13,-16.0
16,31,1,0,560540,15,6884946,6923040,912,1022,39,72.26,0.0
17,3,6,0,292904,5,130931,132001,1016,1020,104,,
18,3,0,0,412212,9,6326906,6390056,1062,1024,46,70.79,-24.79
19,3,0,0,335906,5,1583065,1612018,1125,1025,63,,
20,8,1,0,383662,5,3497883,3527534,1192,1023,67,129.3,-62.3
21,19,1,0,507825,4,5840763,5863744,1260,1023,68,80.42,-12.42
22,38,1,0,483531,15,1371911,1389654,1339,1018,79,94.75,-15.75
23,30,2,0,501994,13,3101356,3123336,1416,1015,77,132.42,-55.42
24,9,1,0,575601,8,4841730,4881011,1463,1016,47,56.57,-9.57
25,17,1,0,730304,2,6495293,6504053,1535,1014,72,102.95,-30.95
26,0,0,0,855649,26,7216182,7271581,1571,1012,36,71.61,-35.61
27,0,0,0,705479,11,754671,766453,1666,1016,95,119.69,-24.69
28,15,1,0,613089,0,1136188,1147606,1722,1014,56,67.16,-11.16
29,42,2,0,596339,0,1288879,1298751,1830,1015,108,119.83,-11.83
30,42,0,0,782990,5,10258172,10282581,1868,1013,38,68.72,-30.72
31,16,2,0,886068,2,7537584,7552345,1918,1013,50,59.92,-9.92
32,8,1,0,678061,0,104949,107264,1996,1011,78,67.43,10.57
33,13,1,0,738304,8,6589871,6604150,2049,1008,53,63.47,-10.47
34,13,0,0,570062,22,308447,313940,2172,1005,123,138.79,-15.79
35,15,1,0,605612,4,8403215,8432955,2205,1001,33,66.76,-33.76
36,12,1,0,761707,2,3746027,3757561,2277,997,72,107.32,-35.32
37,4,1,0,678476,11,680360,690619,2352,996,75,109.43,-34.43
38,2,1,0,612662,15,2031233,2043770,2406,995,54,64.98,-10.98
39,0,0,0,0,0,0,0,0,0,0,0.0,0.0
