web_name,id,element_type,form,points_per_game,predicted_points_3,predicted_points_mean,predicted_points_3_raw,predicted_points_mean_raw
Haaland,355.0,4,7.5,7.5,5.6,5.95,5.6,5.95
Rashford,396.0,3,2.5,2.5,6.86,5.86,6.86,5.86
Mitoma,143.0,3,8.5,8.5,6.08,5.38,6.08,5.38
Saka,19.0,3,6.5,6.5,6.43,5.34,6.43,5.34
Estupiñan,131.0,2,9.0,9.0,5.96,5.27,5.96,5.27
Chilwell,195.0,2,4.0,4.0,4.94,4.8,4.94,4.8
Martinelli,12.0,3,4.0,4.0,5.5,4.8,5.5,4.8
Watkins,60.0,4,5.0,5.0,3.98,4.71,3.98,4.71
B.Fernandes,373.0,3,2.0,2.0,5.36,4.7,5.36,4.7
Digne,42.0,2,4.5,4.5,3.48,4.67,3.48,4.67
Onana,597.0,1,5.5,5.5,4.88,3.97,4.88,3.97
Botman,405.0,2,3.5,3.5,2.52,3.57,2.52,3.57
Turner,28.0,1,2.0,2.0,2.29,3.21,2.29,3.21
Osula,490.0,4,1.5,1.5,2.41,2.86,2.41,2.86
Baldock,473.0,2,1.0,2.0,2.08,1.96,2.78,2.61
