web_name,opponent,element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5
Cédric,,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhaka,,3,0,1,4.5,5.81,21.96,20.59,15.6,18.9,4.8,0.0,4.75,5.15,19.0,21.6,16.62,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elneny,,3,0,1,2.0,0.8,4.2,3.8,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding,,2,1,0,1.0,0.07,0.8,0.03,0.0,3.67,0.2,0.0,1.0,0.0,3.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partey,,3,0,1,3.7,4.14,19.46,12.77,9.14,17.57,4.5,0.0,4.5,4.45,21.0,23.75,16.98,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ødegaard,,3,0,1,5.1,7.93,23.8,24.61,30.78,20.33,3.0,0.0,4.0,7.33,16.67,19.07,19.7,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tierney,,2,1,0,1.8,1.43,5.76,4.24,4.33,7.22,2.2,0.0,2.25,1.28,9.25,5.4,4.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pépé,,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,2,1,0,4.1,2.87,16.32,10.57,1.9,19.1,4.5,0.0,4.5,3.95,20.5,21.35,15.6,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nketiah,,4,0,1,1.0,1.53,1.92,2.47,11.3,2.0,1.0,0.0,1.0,0.28,1.5,0.05,0.47,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
