web_name,opponent_12,predicted_points_12,opponent_13,predicted_points_13,opponent_14,predicted_points_14,opponent_15,predicted_points_15,opponent_16,predicted_points_16,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,X_points
Salah,BRE,8.49,MCI,10.59,FUL,6.11,SHU,4.12,CRY,6.99,7.26,7.7,8.7,308,100.0,0.0,118748,0,0,4,-4,2,3,9.2,9.7,2,Mohamed,True,0,0,129,118748.jpg,Salah,44.8,False,0,a,11,14,85,2671663,101895,1000993,17786,0.7,6.6,954,8,4,3,9,0,0,1,1,0,0,11,259,409.6,334.0,459.0,120.4,11,7.8,3.08,10.88,11.81,2,1,12,8,3,1,1,1,0.0,0.0,4.0,0.0,2.0,0.0,0.74,0.0,0.29,1.03,1.11,0.85,2,1,4,4,1,1,4,2,1.04,0.28,12,0,1,90.0,0.0,0.0,11.0,11.0,1.0,5.0,433.0,87.0,0.0,0.0,5.0,1.0,10.95,23.55,37.24,30.36,41.73,8.4,10.12,22.6,38.2,29.32,33.4,2,8,0,0.9,1.2,0.8,1.2,25.3,32.5,105.3,113.1,106.6,89.7,18.1,14.9,92.6,36.8,19.4,90.4,26.4,35.7,107.9,125.0,123.8,93.6,18.4,16.6,95.8,44.2,25.8,95.6,6.99
Haaland,CHE,7.47,LIV,8.25,TOT,8.87,AVL,7.01,LUT,4.46,7.21,7.3,8.3,355,100.0,0.0,223094,0,0,0,0,3,4,9.3,9.3,1,Erling,True,0,2023-11-04T18:30:07.898730Z,140,223094.jpg,Haaland,82.4,False,0,a,13,43,80,733254,22459,1295576,243362,0.6,5.7,934,11,2,4,7,0,0,1,0,0,0,11,318,440.0,139.3,578.0,115.9,11,10.59,0.91,11.5,7.56,1,1,71,4,1,1,2,1,0.0,0.0,3.0,0.0,1.0,0.0,1.02,0.0,0.09,1.11,0.73,0.67,1,1,5,1,3,1,1,1,1.06,0.39,3,0,1,45.0,0.0,1.0,11.0,10.0,0.91,5.0,405.0,81.0,0.0,1.0,4.0,0.8,10.54,28.91,40.0,12.66,52.55,5.8,7.64,23.6,28.4,9.94,37.8,2,12,0,0.9,1.9,1.2,1.7,30.4,43.0,132.3,140.2,158.8,110.6,21.4,21.4,118.6,62.0,33.9,106.3,29.5,48.1,137.1,164.5,180.8,108.7,18.8,21.8,120.1,68.0,30.5,104.7,4.46
Trippier,BOU,5.72,CHE,7.01,MUN,3.9,EVE,5.95,TOT,5.28,5.57,6.2,6.3,430,100.0,0.0,77794,0,0,5,-5,3,2,6.8,6.3,9,Kieran,True,0,0,70,77794.jpg,Trippier,49.3,False,0,a,15,4,68,2898653,126292,1288949,12981,0.9,9.7,947,0,6,5,11,0,0,0,3,0,0,15,310,316.2,493.5,31.0,84.1,11,0.05,3.73,3.78,10.43,15,2,1,1,241,72,13,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.99,1.05,32,2,16,4,8,1,3,1,1.05,0.48,1,1,0,90.0,0.0,0.0,11.0,11.0,1.0,5.0,428.0,86.0,0.0,0.0,5.0,1.0,7.65,28.18,28.75,44.86,2.82,7.4,7.8,29.2,27.12,48.04,2.8,3,18,0,2.1,1.2,1.6,1.2,20.4,31.9,106.0,105.5,108.4,68.1,7.7,17.6,111.8,42.4,22.1,72.7,21.0,31.0,106.6,109.9,96.2,76.6,8.4,16.9,103.0,41.2,25.6,66.2,5.28
Doku,CHE,6.31,LIV,5.49,TOT,5.73,AVL,5.1,LUT,4.38,5.4,5.4,9.7,678,100.0,0.0,248875,1,-1,1,-1,1,3,10.7,10.7,22,Jérémy,False,0,0,66,248875.jpg,Doku,4.8,False,0,a,13,43,43,646244,340049,191337,7385,1.5,6.5,494,2,5,0,7,0,0,0,1,0,0,6,177,234.4,198.7,196.0,63.0,6,0.5,1.71,2.21,4.72,46,17,41,33,41,25,32,23,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.31,0.4,0.86,1.28,43,26,2,2,18,9,81,25,1.09,0.0,3,0,1,90.0,0.0,2.0,8.0,6.0,0.75,5.0,279.0,56.0,0.0,2.0,3.0,0.6,7.88,22.12,29.3,24.84,24.5,6.2,8.84,24.4,33.36,28.44,26.4,2,12,0,0.9,1.9,1.2,1.7,30.4,43.0,132.3,140.2,158.8,110.6,21.4,21.4,118.6,62.0,33.9,106.3,29.5,48.1,137.1,164.5,180.8,108.7,18.8,21.8,120.1,68.0,30.5,104.7,4.38
Diaby,FUL,5.09,TOT,6.04,BOU,5.73,MCI,4.41,ARS,4.83,5.22,5.4,5.7,599,100.0,100.0,243557,0,0,3,-3,2,3,5.7,5.7,2,Moussa,False,0,2023-09-30T23:00:09.545623Z,68,243557.jpg,Diaby,14.7,False,0,a,2,7,59,1747744,32164,962904,48408,0.8,8.7,883,3,5,2,15,0,0,0,0,0,0,5,193,226.6,273.3,284.0,78.5,11,2.08,2.08,4.16,12.25,51,19,22,16,22,13,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.42,1.25,1.53,37,21,26,13,19,10,25,9,1.12,0.2,16,0,1,90.0,0.0,0.0,11.0,11.0,1.0,5.0,402.0,80.0,0.0,0.0,5.0,1.0,7.14,17.55,20.6,24.85,25.82,5.4,7.4,18.2,17.84,28.58,27.6,4,1,1,2.1,0.8,2.4,0.6,21.3,24.0,89.8,78.5,72.0,71.4,8.4,11.1,86.4,15.2,9.6,64.0,19.8,21.9,80.1,75.9,63.0,67.4,10.6,9.5,74.4,12.7,8.2,67.6,4.83
Bernardo,CHE,5.99,LIV,5.14,TOT,5.32,AVL,5.27,LUT,4.03,5.15,5.2,7.7,344,100.0,100.0,165809,0,0,-2,2,2,3,8.7,8.7,14,Bernardo,False,0,2023-09-20T09:00:09.855543Z,63,165809.jpg,Veiga de Carvalho e Silva,1.8,False,0,a,13,43,42,157162,30340,446990,3879,1.2,6.7,638,3,2,2,5,0,0,0,2,0,0,6,187,223.6,239.8,132.0,59.6,7,0.84,2.59,3.43,5.01,52,20,29,23,76,48,38,26,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.37,0.49,0.71,0.71,54,32,8,6,23,14,128,36,0.99,0.28,3,0,1,84.0,2.0,2.0,8.0,7.0,0.78,4.0,354.0,88.0,0.0,1.0,4.0,0.8,7.45,23.38,27.95,29.98,16.5,6.0,8.5,27.75,34.35,28.72,21.75,2,12,0,0.9,1.9,1.2,1.7,30.4,43.0,132.3,140.2,158.8,110.6,21.4,21.4,118.6,62.0,33.9,106.3,29.5,48.1,137.1,164.5,180.8,108.7,18.8,21.8,120.1,68.0,30.5,104.7,4.03
Son,WOL,5.27,AVL,5.9,MCI,6.46,WHU,3.12,NEW,4.96,5.14,7.3,8.7,516,100.0,100.0,85971,1,-1,7,-7,2,3,8.7,8.7,2,Son,True,0,2023-09-29T13:30:09.441382Z,97,85971.jpg,Heung-min,39.8,False,0,a,18,6,80,4198198,136408,919451,27179,0.9,8.2,886,8,1,4,12,0,0,0,0,0,0,11,249,350.4,238.6,379.0,96.6,11,4.43,2.07,6.5,14.43,5,2,31,25,6,3,8,6,0.0,0.0,3.0,0.0,1.0,0.0,0.45,0.0,0.21,0.66,1.47,1.22,5,3,3,3,2,2,6,3,1.12,0.41,7,0,1,90.0,0.0,0.0,11.0,11.0,1.0,5.0,404.0,81.0,0.0,0.0,5.0,1.0,8.78,22.64,31.85,21.69,34.45,7.2,8.3,19.8,30.0,18.3,34.8,4,15,1,2.4,1.0,2.2,0.8,19.9,26.7,88.2,96.6,82.7,77.6,7.3,13.1,80.0,34.8,16.4,69.6,15.4,23.2,72.6,81.2,78.8,64.0,6.0,10.3,71.2,23.4,8.4,59.4,4.96
Bowen,NFO,5.38,BUR,5.55,CRY,4.36,TOT,5.34,FUL,4.95,5.12,6.1,5.7,526,100.0,100.0,178186,1,-1,5,-5,1,3,5.7,5.7,7,Jarrod,True,0,2023-09-22T11:30:08.260489Z,75,178186.jpg,Bowen,22.6,False,0,a,19,21,67,2710219,189370,986754,25102,0.8,8.9,990,7,1,1,20,0,0,0,1,0,0,7,202,337.2,122.2,437.0,89.6,11,4.84,1.31,6.15,20.68,7,3,82,62,4,2,9,7,2.0,0.0,0.0,0.0,4.0,0.0,0.44,0.0,0.12,0.56,1.88,1.82,19,12,27,14,9,5,13,6,1.0,0.09,4,0,1,90.0,0.0,0.0,11.0,11.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,8.15,18.36,30.65,11.11,39.73,5.6,7.76,16.8,27.32,10.48,39.8,2,10,0,0.8,1.6,0.8,1.4,27.4,36.0,122.2,110.0,128.0,103.6,21.4,15.6,100.2,30.1,25.6,98.4,27.8,33.7,119.1,105.9,113.0,98.0,23.8,14.3,104.5,21.8,16.0,108.6,4.95
Mbeumo,LIV,7.09,ARS,5.25,LUT,3.3,BHA,5.48,SHU,3.93,5.01,6.5,10.7,108,100.0,100.0,446008,1,-1,3,-3,3,3,10.2,10.7,5,Bryan,True,0,2023-08-06T23:30:05.510200Z,68,446008.jpg,Mbeumo,21.6,False,0,a,4,94,72,3222063,82342,2065765,70847,1.6,10.6,990,6,3,3,14,0,0,0,1,0,0,9,211,321.0,302.6,362.0,98.5,11,6.53,3.17,9.7,14.97,12,7,16,12,8,5,7,5,1.0,0.0,2.0,0.0,2.0,0.0,0.59,0.0,0.29,0.88,1.36,1.27,38,22,1,1,7,4,15,7,1.0,0.27,19,0,1,90.0,0.0,0.0,11.0,11.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,8.95,19.18,29.18,27.51,32.91,7.2,9.56,22.6,28.68,33.78,33.2,2,17,0,0.8,2.7,0.8,2.6,33.2,51.0,164.0,160.6,184.6,126.6,24.0,21.7,120.3,60.5,35.6,109.1,34.0,42.6,145.9,127.4,152.0,118.0,23.6,18.1,109.3,46.3,24.6,103.6,3.93
Saka,BUR,5.25,BRE,5.57,WOL,4.78,LUT,4.05,AVL,5.37,5.0,6.6,4.3,19,75.0,100.0,223340,0,0,1,-1,2,3,4.0,4.3,2,Bukayo,True,Knock - 75% chance of playing,2023-11-09T08:30:08.290130Z,86,223340.jpg,Saka,50.7,False,0,d,1,3,66,2214217,137522,3030307,85635,0.5,7.7,865,4,5,4,9,0,0,0,1,0,0,8,244,317.2,380.2,322.0,101.9,10,4.0,2.93,6.93,8.35,14,8,6,5,15,9,4,3,1.0,0.0,0.0,0.0,1.0,0.0,0.42,0.0,0.3,0.72,0.87,0.94,7,5,57,30,6,3,2,1,1.04,0.42,15,0,1,90.0,1.0,0.0,10.0,10.0,1.0,4.0,327.0,82.0,1.0,0.0,4.0,1.0,10.19,24.4,31.72,38.02,32.2,5.5,7.2,19.5,21.95,22.45,27.5,3,2,0,2.4,1.4,2.8,1.2,23.6,27.8,103.8,82.1,93.7,82.4,11.6,16.2,103.3,41.8,16.4,80.0,20.0,22.9,85.5,74.5,69.8,61.8,11.8,15.6,111.8,25.9,17.6,79.0,5.37
