id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,2,242,100.0,100.0,4,69140,0,0,-4,4,45.5,345,119,0,2,3.3,1.8,0,Shkodran,2.3,17,0,47.9,303,100,False,277.2,246,97,1205,0,2020-07-01T22:00:25.971699Z,51,0,0,0,69140.jpg,2.9,0,0,Mustafi,0.4,False,0.0,a,1,3,155.0,230,57,43,24575,741,45416,360,0.5,8.4,Mustafi,2,10,1,0,0.0,2.0,22.0,15.0,12.0,0.35,4.0,315.0,79.0,0.0,2.0,3.0,0.6,3.19,16.13,18.48,3.03,10.33,2.5,2.4,13.25,15.35,1.0,7.75,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
427,1,145,100.0,0.0,3,98980,0,0,-2,2,0.0,562,52,0,1,5.3,3.8,4,Emiliano,4.3,6,0,21.2,382,25,False,210.8,295,25,590,0,0,43,0,0,0,98980.jpg,4.3,0,28,Martínez,3.1,False,0.0,a,1,3,0.0,539,47,30,257910,20229,51304,1688,1.0,7.0,Martínez,1,10,1,0,90.0,0.0,29.0,7.0,7.0,0.19,5.0,450.0,90.0,0.0,0.0,5.0,1.0,3.03,20.71,30.11,0.0,0.0,4.2,3.22,21.8,32.08,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
467,5,197,0.0,0.0,3,101184,0,0,-2,2,113.5,256,69,0,2,0.0,0.0,0,Calum,0.0,15,1,58.7,259,81,False,272.0,252,100,1102,Knee injury - Unknown return date,2019-12-29T14:30:27.183032Z,43,0,0,0,101184.jpg,3.0,0,0,Chambers,0.6,False,0.0,i,1,3,203.0,191,39,42,140639,13,173670,65,0.0,9.8,Chambers,5,10,1,0,0.0,17.0,8.0,14.0,11.0,0.58,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.19,14.07,19.43,8.11,14.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
469,3,280,100.0,100.0,7,182539,0,0,-3,3,394.2,94,67,1,3,3.3,1.8,0,Daniel,2.3,18,0,82.6,189,96,False,312.4,226,92,1526,0,2019-11-06T17:30:16.584319Z,52,0,0,0,182539.jpg,2.4,0,0,Ceballos Fernández,3.0,False,0.0,a,1,3,119.0,256,132,53,1030863,1079,1165226,922,0.4,10.2,Ceballos,1,10,0,1,33.0,9.0,11.0,22.0,16.0,0.59,5.0,374.0,75.0,0.0,1.0,4.0,0.8,3.75,12.73,14.2,17.92,5.41,2.2,3.64,14.2,13.92,19.14,3.2,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
486,3,277,100.0,100.0,4,58822,0,0,-2,2,205.1,187,43,0,2,3.3,1.8,2,Cédric,2.3,19,1,67.1,229,67,False,346.4,203,74,1475,0,2020-06-19T23:30:18.204187Z,48,0,0,0,58822.jpg,3.0,0,0,Soares,0.3,False,0.0,a,1,3,118.0,257,71,59,34756,2178,40109,361,0.5,12.3,Cédric,1,10,1,0,75.0,12.0,8.0,20.0,16.0,0.67,4.0,169.0,42.0,0.0,3.0,2.0,0.4,3.35,13.85,17.32,10.26,5.9,4.0,1.85,13.75,13.8,2.0,2.75,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
488,9,334,100.0,100.0,5,195735,0,0,-6,6,578.7,35,28,2,3,3.1,1.6,2,Nicolas,2.1,28,5,167.5,49,26,False,480.6,132,50,1903,0,2019-12-11T12:30:12.556688Z,89,0,0,0,195735.jpg,3.6,0,0,Pépé,3.1,False,0.0,a,1,3,614.0,57,30,103,681849,4110,846073,2524,0.2,11.6,Pépé,4,10,0,1,90.0,0.0,15.0,29.0,21.0,0.58,3.0,167.0,56.0,0.0,3.0,2.0,0.4,5.78,11.52,16.57,19.96,21.17,1.33,1.5,0.67,0.87,2.73,11.67,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
489,0,98,100.0,100.0,2,200641,0,0,-2,2,133.8,242,142,0,3,2.3,0.8,6,Reiss,1.3,7,1,39.8,326,144,False,101.4,375,158,604,0,2020-01-18T17:00:23.535651Z,53,0,0,0,200641.jpg,1.8,0,0,Nelson,0.1,False,0.0,a,1,3,163.0,220,115,29,14625,1005,20137,88,0.2,5.5,Nelson,1,10,0,1,57.0,6.0,24.0,15.0,6.0,0.2,3.0,120.0,40.0,0.0,3.0,2.0,0.4,2.65,6.53,6.76,8.92,10.87,2.67,3.73,9.67,14.93,12.63,9.67,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
490,0,146,100.0,100.0,1,200089,0,0,-3,3,163.7,218,132,0,3,3.1,1.6,1,Joseph,2.1,15,1,54.5,274,131,False,176.8,320,137,771,0,2019-09-07T11:30:17.190466Z,47,0,0,0,200089.jpg,1.5,0,0,Willock,0.2,False,0.0,a,1,3,206.0,186,100,40,31174,103,35592,176,0.4,8.5,Willock,1,10,0,1,32.0,1.0,30.0,26.0,5.0,0.14,5.0,103.0,21.0,0.0,5.0,0.0,0.0,2.1,5.62,6.8,6.3,7.92,1.6,1.82,4.4,6.6,5.36,7.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
504,5,129,0.0,0.0,2,444145,0,0,-2,2,36.6,362,54,0,4,0.0,0.0,0,Gabriel Teodoro,0.0,9,3,42.5,319,46,False,162.8,328,38,656,Knee injury - Unknown return date,2020-06-24T13:00:17.558412Z,43,0,0,0,444145.jpg,2.8,0,0,Martinelli Silva,1.8,False,0.0,i,1,3,226.0,173,48,39,577746,243,552672,2378,0.0,9.1,Martinelli,1,10,0,1,0.0,8.0,22.0,14.0,6.0,0.21,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.04,9.21,11.63,2.61,16.14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
515,3,177,100.0,100.0,2,192895,0,0,-2,2,107.0,262,73,0,2,4.6,3.1,2,Kieran,3.6,14,0,29.3,354,128,False,136.8,346,135,866,0,2019-12-09T22:00:21.790216Z,53,0,0,0,192895.jpg,2.3,0,0,Tierney,0.9,False,0.0,a,1,3,48.0,340,120,30,126421,13363,124505,871,0.7,5.7,Tierney,2,10,1,0,90.0,18.0,7.0,13.0,10.0,0.59,5.0,408.0,82.0,0.0,0.0,5.0,1.0,2.25,13.62,10.52,8.23,3.69,3.0,1.8,15.2,10.68,3.82,3.4,3.0,14.0,0.0,0.7,1.9,0.2,2.4,27.8,43.8,139.0,125.6,173.3,108.4,24.9,19.5,103.6,48.7,42.4,106.3,32.8,42.3,142.3,127.0,154.4,117.0,33.2,18.1,95.2,49.6,35.8,124.4
