id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
478,9,306,100.0,100.0,3,47431,0,0,-5,5,534.8,1,3,0.0,6.6,10,Willian,2.8,17,1,102.3,False,256.2,1398,0,2021-03-19T01:00:27.116549Z,75,0,0,0,47431.jpg,3.1,0,0,Borges Da Silva,2.7,False,0.0,a,1,3,228.0,78,809292,569,1377629,907,0.4,10.4,Willian,0,18,0,1,90.0,5.0,15.0,25.0,15.0,0.5,4.0,208.0,52.0,0.0,3.0,2.0,0.4,4.09,12.24,10.25,21.39,9.12,3.75,5.6,15.0,17.25,30.97,7.75,4,17,0,1.7,1.2,2.0,1.8,21.6,35.1,102.2,107.5,141.6,85.9,12.8,15.9,92.2,37.7,29.2,79.2,25.6,38.4,129.7,114.3,139.6,102.0,9.4,19.2,113.4,34.7,43.6,78.0
9,1,375,75.0,75.0,9,84450,0,0,-3,3,290.3,0,3,0.0,2.6,0,Granit,1.2,27,1,85.5,False,430.4,2417,Muscle injury - 75% chance of playing,2021-05-07T00:30:25.120342Z,52,0,0,0,84450.jpg,2.3,1,0,Xhaka,0.4,False,0.0,d,1,3,132.0,66,46445,9,84914,913,0.2,12.7,Xhaka,7,18,0,1,0.0,2.0,5.0,29.0,28.0,0.85,4.0,360.0,90.0,1.0,0.0,4.0,1.0,2.95,12.93,14.84,10.01,4.55,2.25,3.27,13.5,18.7,9.78,4.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
8,10,578,100.0,100.0,10,80201,0,0,0,0,0.0,2,1,0.0,5.4,11,Bernd,2.2,36,0,65.9,False,658.0,2951,0,2021-02-02T20:30:22.406559Z,50,1,0,1,80201.jpg,3.7,1,80,Leno,6.8,False,0.0,a,1,3,2.0,121,958995,1415,1099942,10178,0.4,24.2,Leno,0,18,1,0,180.0,0.0,3.0,33.0,32.0,0.91,4.0,360.0,90.0,0.0,2.0,3.0,0.6,2.0,17.52,19.94,0.0,0.06,4.25,1.53,16.0,15.15,0.0,0.5,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
7,0,16,0.0,0.0,0,69140,0,0,0,0,1.0,0,2,0.0,0.0,0,Shkodran,0.0,1,0,1.3,False,11.6,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,0,0,0,69140.jpg,1.0,0,0,Mustafi,0.0,False,0.0,u,1,3,0.0,3,13464,0,14501,13,0.0,0.6,Mustafi,0,18,1,0,0.0,19.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.43,5.33,3.87,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
6,21,451,100.0,100.0,7,59966,0,0,-1,1,306.6,4,4,0.0,2.6,2,Alexandre,0.8,21,13,170.3,False,601.8,1905,0,2021-04-18T15:30:22.440237Z,84,0,0,0,59966.jpg,4.3,0,0,Lacazette,4.3,False,0.0,a,1,3,797.0,128,1900526,2606,1930663,24627,0.1,15.2,Lacazette,3,18,0,1,41.0,1.0,13.0,29.0,21.0,0.62,3.0,198.0,66.0,1.0,2.0,2.0,0.5,5.87,15.55,20.75,10.57,27.48,5.67,5.83,23.67,25.27,11.53,21.33,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
5,3,125,100.0,100.0,2,58822,0,0,-4,4,114.8,0,2,0.0,1.0,0,Cédric,0.0,11,0,29.2,False,110.8,744,0,2020-09-23T09:00:14.881983Z,46,0,0,0,58822.jpg,2.8,0,0,Soares,0.3,False,0.0,a,1,3,66.0,28,41296,65,65555,917,0.0,6.1,Cédric,1,18,1,0,0.0,0.0,27.0,10.0,8.0,0.23,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.92,12.5,11.08,11.48,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
4,11,350,100.0,100.0,9,54694,0,0,-7,7,323.0,3,3,0.0,8.2,6,Pierre-Emerick,3.6,25,10,159.5,False,489.8,2162,0,2021-04-12T08:30:26.681398Z,113,1,0,0,54694.jpg,4.7,0,0,Aubameyang,6.8,False,0.0,a,1,3,785.0,126,1185789,3357,3853065,23126,0.3,11.2,Aubameyang,2,18,0,1,78.0,5.0,6.0,27.0,24.0,0.8,2.0,155.0,78.0,2.0,1.0,2.0,0.67,5.91,12.96,18.14,11.96,29.07,9.0,7.3,22.0,30.8,15.3,27.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
10,1,182,100.0,100.0,4,92371,0,0,-1,1,26.4,0,2,0.0,4.2,6,Pablo,1.6,8,0,20.6,False,163.2,900,0,2021-01-14T22:00:26.195009Z,44,0,0,0,92371.jpg,3.4,0,0,Marí,0.1,False,0.0,a,1,3,16.0,34,38960,195,34407,497,0.4,7.7,Marí,2,18,1,0,90.0,14.0,11.0,10.0,10.0,0.48,3.0,270.0,90.0,0.0,2.0,3.0,0.6,2.06,18.2,16.32,2.64,1.6,4.33,1.57,21.33,14.93,0.5,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
3,0,230,75.0,75.0,3,41270,0,0,-1,1,46.7,0,2,0.0,1.0,0,David,0.2,20,1,43.9,False,250.6,1396,Hamstring injury - 75% chance of playing,2021-05-02T16:00:26.134258Z,54,0,0,0,41270.jpg,2.0,1,0,Luiz Moreira Marinho,0.8,False,0.0,d,1,3,144.0,41,77117,38,130248,462,0.0,7.6,David Luiz,1,18,1,0,0.0,10.0,9.0,20.0,16.0,0.64,1.0,52.0,52.0,3.0,1.0,1.0,0.5,2.19,11.5,12.53,2.34,7.2,1.0,2.9,7.0,6.0,1.5,21.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
1,0,0,0.0,0.0,0,37605,0,0,-3,3,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,0,37605.jpg,0.0,0,0,Özil,0.5,False,0.0,u,1,3,0.0,0,3441,0,54898,24,0.0,0.0,Özil,0,18,0,1,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,1,1.5,1.5,1.2,1.0,24.8,38.9,117.5,121.2,150.3,89.5,18.4,18.6,108.1,37.6,40.4,88.3,23.0,38.6,98.8,123.0,164.0,78.2,20.0,23.2,100.1,86.8,46.0,103.6
