id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,100.0,0.0,80201,0,0,0,0,0,1,2.6,3.6,1,Bernd,1.0,False,0,0,50,80201.jpg,1.0,Leno,2.0,False,0.0,a,1,3,1,2296,2296,23639,23639,0.2,0.2,Leno,90,0,0,0,2,0,0,0,0,0,1,0,11,11.8,0.0,0.0,1.2,150,17,430,47,394,47,217,17,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,1.2,11.0,11.8,0.0,0.0,1.0,1.2,11.0,11.8,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
2,0.0,0.0,115918,0,0,0,0,0,1,0.0,2.0,0,Rúnar Alex,0.0,False,Illness - Expected back 28 Aug,2021-08-20T09:30:14.051083Z,40,115918.jpg,0.0,Rúnarsson,1.5,False,0.0,i,1,3,0,5647,5647,3010,3010,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,277,30,268,11,201,10,290,30,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
3,50.0,0.0,47431,-1,1,-1,1,0,3,1.1,3.2,0,Willian,0.0,False,Illness - 50% chance of playing,2021-08-20T09:30:14.065783Z,64,47431.jpg,0.0,Borges Da Silva,0.3,False,0.0,d,1,3,0,699,699,6165,6165,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,537,226,540,227,534,224,540,227,4.0,0.0,2.0,0.0,0.0,0.0,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
4,50.0,25.0,54694,-1,1,-1,1,0,4,1.6,1.0,0,Pierre-Emerick,0.0,False,Lack of match fitness - 50% chance of playing,2021-08-13T14:30:14.477664Z,99,54694.jpg,0.0,Aubameyang,1.5,False,0.0,d,1,3,0,936,936,90193,90193,0.0,0.0,Aubameyang,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,556,73,556,73,556,73,556,73,0.0,0.0,0.0,0.0,1.0,0.0,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
5,100.0,0.0,58822,0,0,0,0,0,2,1.7,2.7,0,Cédric,0.0,False,0,0,45,58822.jpg,0.0,Soares,0.2,False,0.0,a,1,3,0,504,504,3045,3045,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,316,120,310,117,248,91,329,121,0.0,0.0,5.0,0.0,0.0,0.0,3,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
6,0.0,25.0,59966,-1,1,-1,1,0,4,0.0,0.9,0,Alexandre,0.0,False,Illness - Expected back 28 Aug,2021-08-13T14:30:14.582063Z,84,59966.jpg,0.0,Lacazette,1.7,False,0.0,i,1,3,0,556,556,65778,65778,0.0,0.0,Lacazette,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,552,71,553,71,551,70,553,71,0.0,0.0,3.0,0.0,2.0,0.0,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
7,100.0,0.0,84450,0,0,0,0,0,3,1.4,2.4,2,Granit,2.0,False,0,0,50,84450.jpg,2.0,Xhaka,1.0,False,0.0,a,1,3,2,6754,6754,11858,11858,0.4,0.4,Xhaka,90,0,0,0,2,0,0,0,0,0,0,0,13,15.2,24.7,5.0,4.5,123,49,41,28,123,70,88,51,0.0,0.0,4.0,0.0,0.0,0.0,3,0,1,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,4.5,13.0,15.2,24.7,5.0,2.0,4.5,13.0,15.2,24.7,5.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
8,100.0,0.0,92371,0,0,0,0,0,2,1.7,2.7,1,Pablo,1.0,False,0,0,45,92371.jpg,1.0,Marí,0.2,False,0.0,a,1,3,1,717,717,1576,1576,0.2,0.2,Marí,90,0,0,0,2,0,0,0,0,0,0,0,14,16.6,1.3,7.0,2.5,111,41,182,51,106,21,157,48,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,90.0,0.0,0.0,1.0,1.0,2.5,14.0,16.6,1.3,7.0,1.0,2.5,14.0,16.6,1.3,7.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
9,100.0,0.0,98745,-1,1,-1,1,0,2,2.1,3.1,0,Héctor,0.0,False,0,0,49,98745.jpg,0.0,Bellerín,0.9,False,0.0,a,1,3,0,1677,1677,17037,17037,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,421,166,418,165,378,149,430,165,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
10,100.0,0.0,101184,0,0,0,0,0,2,1.7,2.7,1,Calum,1.0,False,0,0,45,101184.jpg,1.0,Chambers,0.4,False,0.0,a,1,3,1,1321,1321,3441,3441,0.2,0.2,Chambers,80,0,0,0,2,0,0,0,0,0,0,0,14,13.2,16.8,12.0,4.2,136,56,68,16,86,17,99,27,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,80.0,0.0,0.0,1.0,1.0,1.0,1.0,80.0,80.0,0.0,0.0,1.0,1.0,4.2,14.0,13.2,16.8,12.0,1.0,4.2,14.0,13.2,16.8,12.0,4,6,1,3.0,0.0,3.0,0.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0,11.0,15.0,50.8,49.3,53.0,40.0,7.0,11.0,89.4,16.0,4.0,79.0
