web_name,opponent_11,predicted_points_11,opponent_12,predicted_points_12,opponent_13,predicted_points_13,opponent_14,predicted_points_14,opponent_15,predicted_points_15,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Salah,MCI,7.13,WHU,8.1,NFO,7.47,LEE,6.92,TOT,6.54,7.23,5.6,3.5,283,100.0,0.0,118748,0,0,-3,3,1,3,3.5,4.0,2,Mohamed,False,,0,127,118748.jpg,Salah,26.0,False,0,a,12,14,45,1005105,25583,4233726,291523,0.3,3.5,698,2,4,2,11,0,0,0,0,0,0,5,101,183.4,309.6,335.0,82.9,52,22,3,2,10,5,9,5,0.0,0.0,0.0,0.0,2.0,0.0,1,5,13,1,3.3,0.9,2.8,0.8,16.7,17.5,70.3,44.9,61.2,62.2,3.2,10.8,80.6,17.1,9.6,55.1,16.4,16.9,70.3,41.1,57.6,62.0,1.8,8.4,68.2,10.2,5.0,46.4,0,1,68.0,0.0,2.0,8.0,8.0,0.8,3.0,248.0,83.0,0.0,2.0,3.0,0.6,10.36,12.62,22.92,38.7,41.88,3.33,7.07,5.33,11.6,20.8,38.0
Bowen,SOU,8.17,LIV,7.08,BOU,6.25,MUN,7.37,CRY,5.8,6.93,4.0,7.7,465,100.0,0.0,178186,1,-1,-3,3,1,3,7.7,7.7,7,Jarrod,False,,0,82,178186.jpg,Bowen,5.3,False,0,a,19,21,36,573594,63012,661149,12415,0.9,4.4,804,2,1,2,10,0,0,0,0,0,0,3,98,160.4,163.0,365.0,68.9,76,32,39,32,8,3,15,9,2.0,0.0,0.0,0.0,2.0,0.0,9,2,17,0,0.8,1.7,0.2,1.6,24.9,36.8,124.6,101.4,142.6,89.2,22.1,16.8,105.0,27.0,36.5,98.2,25.4,34.3,122.0,96.6,125.4,86.6,25.6,14.7,89.4,24.7,33.0,96.6,0,1,90.0,0.0,1.0,9.0,9.0,0.9,4.0,360.0,90.0,0.0,1.0,4.0,0.8,7.66,10.89,17.82,18.11,40.56,6.25,12.48,19.75,31.2,29.62,63.75
Trossard,BRE,7.21,NFO,6.04,MCI,7.02,CHE,6.23,WOL,6.34,6.57,6.8,11.0,111,100.0,0.0,116216,1,-1,3,-3,2,3,11.0,10.5,2,Leandro,True,,0,68,116216.jpg,Trossard,14.6,False,0,a,5,36,54,1621812,319277,372737,48370,1.6,7.9,670,5,2,3,9,0,0,0,1,0,0,5,165,238.2,198.3,332.0,76.9,19,7,26,22,11,6,11,7,0.0,0.0,2.0,0.0,4.0,0.0,18,3,4,0,1.6,1.7,1.2,2.0,23.7,34.2,113.3,98.3,131.3,86.0,15.7,16.8,97.7,45.8,23.8,86.2,24.6,30.3,109.4,85.4,109.8,83.4,19.6,14.3,83.1,36.6,23.2,88.8,0,1,90.0,0.0,2.0,8.0,8.0,0.8,3.0,264.0,88.0,0.0,2.0,3.0,0.6,9.61,20.62,29.78,24.79,41.5,11.33,13.17,35.67,54.13,29.77,47.67
Firmino,MCI,6.12,WHU,6.99,NFO,6.27,LEE,7.57,TOT,5.71,6.53,7.6,9.0,279,100.0,100.0,92217,1,-1,0,0,2,4,9.0,9.5,6,Roberto,False,,2022-08-16T00:30:06.283883Z,80,92217.jpg,Firmino,5.2,False,0,a,12,14,53,713668,104958,421056,28221,1.1,6.6,465,6,3,1,8,0,0,0,0,0,0,9,221,315.0,128.8,399.0,84.5,4,3,59,6,6,5,8,4,0.0,0.0,0.0,0.0,0.0,0.0,1,5,13,1,3.3,0.9,2.8,0.8,16.7,17.5,70.3,44.9,61.2,62.2,3.2,10.8,80.6,17.1,9.6,55.1,16.4,16.9,70.3,41.1,57.6,62.0,1.8,8.4,68.2,10.2,5.0,46.4,0,1,48.0,1.0,3.0,7.0,6.0,0.67,3.0,167.0,56.0,0.0,3.0,2.0,0.4,12.07,31.57,45.0,18.4,57.0,6.33,10.5,28.33,41.33,11.2,52.33
Maddison,CRY,6.47,LEE,7.01,WOL,6.35,MCI,7.16,EVE,5.5,6.5,6.0,8.7,261,100.0,100.0,172780,1,-1,3,-3,1,3,8.7,9.2,1,James,False,,2022-08-25T13:00:06.073033Z,83,172780.jpg,Maddison,18.9,False,0,a,10,13,48,2162605,208815,717097,75375,1.0,5.8,714,5,2,1,22,0,0,0,4,0,0,4,182,288.2,258.7,267.0,81.5,7,3,9,7,22,14,10,6,1.0,0.0,1.0,0.0,0.0,0.0,3,2,7,1,1.0,1.2,0.6,0.6,20.8,32.5,91.2,100.5,133.9,76.5,14.6,16.9,87.6,47.4,33.8,74.9,13.2,23.0,48.5,65.2,116.6,39.0,12.6,14.0,71.7,39.7,28.2,56.6,0,1,90.0,1.0,1.0,8.0,8.0,0.89,4.0,354.0,88.0,0.0,1.0,4.0,0.8,10.19,22.75,36.02,32.34,33.38,7.0,11.12,27.5,44.05,34.82,32.25
Kane,EVE,5.86,MUN,6.55,NEW,7.25,BOU,5.45,LIV,7.25,6.47,7.0,7.7,427,100.0,0.0,78830,0,0,-1,1,1,4,8.2,8.2,7,Harry,True,,2022-10-08T20:30:07.678681Z,114,78830.jpg,Kane,20.3,False,0,a,18,6,63,1537257,102089,2076352,81565,0.7,5.5,796,8,2,4,9,0,0,1,3,0,0,12,254,363.4,209.0,505.0,107.7,2,2,21,1,3,3,2,2,0.0,0.0,1.0,0.0,1.0,0.0,5,2,8,1,0.8,0.9,0.8,0.6,21.3,36.6,102.1,117.1,147.8,76.2,14.0,17.7,92.3,48.6,35.4,75.1,17.0,33.9,85.7,112.1,141.6,66.4,10.8,16.1,78.8,44.2,37.6,59.8,0,1,89.0,0.0,1.0,9.0,9.0,0.9,4.0,346.0,86.0,0.0,1.0,4.0,0.8,11.97,28.22,40.38,23.22,56.11,8.0,11.25,32.25,43.0,20.1,49.5
Jesus,LEE,8.08,0,0.0,SOU,8.49,NFO,7.94,CHE,6.96,6.29,5.8,6.3,28,100.0,0.0,205651,0,0,0,0,1,4,6.8,5.8,5,Gabriel,False,,0,80,205651.jpg,Fernando de Jesus,68.8,False,0,a,1,3,52,1929628,96934,2272030,82244,0.8,6.5,779,5,4,3,10,0,0,0,4,0,0,6,182,285.8,174.6,608.0,106.9,8,4,32,2,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,12,2,11,0,1.1,1.2,0.6,1.4,21.1,30.3,106.4,88.0,108.7,79.1,10.8,12.0,72.9,24.9,21.7,57.6,19.4,25.9,94.7,64.4,99.8,72.8,8.4,7.8,49.2,16.6,11.6,42.2,0,1,90.0,0.0,1.0,9.0,9.0,0.9,4.0,349.0,87.0,0.0,1.0,4.0,0.8,11.88,20.22,31.76,19.4,67.56,5.0,10.58,19.0,27.05,18.67,60.0
Mount,AVL,5.85,BRE,6.37,MUN,5.71,BHA,6.36,ARS,6.64,6.19,3.4,6.5,142,100.0,0.0,184341,0,0,-4,4,1,3,7.0,7.0,12,Mason,False,,0,76,184341.jpg,Mount,4.3,False,0,a,6,8,27,300109,97467,809643,8609,0.9,3.6,549,0,3,2,9,0,0,0,1,0,0,3,103,127.6,225.7,194.0,55.0,118,49,15,13,37,24,29,22,2.0,0.0,3.0,0.0,2.0,0.0,20,2,2,0,0.7,1.1,0.6,0.4,20.3,27.7,90.3,74.5,112.6,69.8,17.8,14.2,86.8,28.0,27.0,83.7,15.0,19.6,62.9,59.3,75.2,49.8,13.0,10.2,72.9,16.9,12.0,62.8,0,1,71.0,0.0,4.0,8.0,6.0,0.6,3.0,184.0,61.0,0.0,3.0,2.0,0.4,6.88,12.88,15.95,28.21,24.25,4.67,6.57,16.0,16.2,34.43,14.67
Antony,NEW,6.1,TOT,5.47,CHE,6.04,WHU,6.42,AVL,6.61,6.13,7.0,7.5,609,100.0,0.0,467169,1,-1,1,-1,0,3,7.5,7.5,8,Antony Matheus,False,,0,76,467169.jpg,dos Santos,8.6,False,0,a,14,1,21,1025634,236416,212651,18472,1.0,2.8,237,3,0,0,7,0,0,0,0,0,0,1,73,125.2,51.2,111.0,28.7,125,53,165,103,90,56,117,73,0.0,0.0,0.0,0.0,0.0,0.0,8,3,15,1,1.7,0.9,2.0,0.6,20.0,32.5,106.0,89.6,128.2,76.4,11.3,13.4,87.7,26.8,19.6,70.1,14.2,23.5,85.3,61.9,86.6,55.2,11.0,11.5,85.6,19.0,10.6,66.4,0,1,90.0,0.0,2.0,3.0,3.0,0.6,3.0,237.0,79.0,0.0,2.0,3.0,0.6,9.57,24.33,41.73,17.07,37.0,7.0,9.57,24.33,41.73,17.07,37.0
Martinelli,LEE,7.57,0,0.0,SOU,8.39,NFO,6.91,CHE,7.1,5.99,6.1,6.3,19,100.0,0.0,444145,0,0,6,-6,2,3,6.8,5.8,12,Gabriel,True,,0,66,444145.jpg,Martinelli Silva,47.7,False,0,a,1,3,55,3802308,256667,1292145,29544,1.0,8.3,781,4,3,3,10,0,0,0,1,0,0,6,190,253.8,273.1,421.0,94.8,13,5,6,5,4,1,4,1,1.0,0.0,2.0,0.0,2.0,0.0,12,2,11,0,1.1,1.2,0.6,1.4,21.1,30.3,106.4,88.0,108.7,79.1,10.8,12.0,72.9,24.9,21.7,57.6,19.4,25.9,94.7,64.4,99.8,72.8,8.4,7.8,49.2,16.6,11.6,42.2,0,1,90.0,0.0,1.0,9.0,9.0,0.9,4.0,347.0,87.0,0.0,1.0,4.0,0.8,10.53,21.11,28.2,30.34,46.78,5.25,9.48,18.0,25.35,27.53,41.75
