web_name,opponent_20,predicted_points_20,opponent_21,predicted_points_21,opponent_22,predicted_points_22,opponent_23,predicted_points_23,opponent_24,predicted_points_24,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
Haaland,MUN,14.62,WOL,11.45,TOT,8.14,AVL,20.32,NFO,12.56,13.42,9.0,7.0,318,100.0,100.0,223094,0,0,7,-7,6,4,15.5,7.5,2,Erling,True,,2022-10-25T22:30:07.174496Z,122,223094.jpg,Haaland,85.1,False,0,a,13,43,144,5448958,49534,1684275,11733,0.6,11.8,1306,21,3,6,15,0,0,0,3,0,0,23,590,785.0,202.3,1079.0,206.7,15,14.4668,2.16017,16.62697,10.3404,1,1,83,9,1,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.99695,0.0,0.14886,1.14581,0.71258,1.03,3,1,11,2,3,1,1,1,1.03369,0.41348,6,0,1,90.0,1.0,3.0,16.0,15.0,0.83,5.0,386.0,77.0,0.0,1.0,4.0,0.8,12.92,36.88,49.06,12.64,67.44,5.4,8.86,21.0,28.84,11.98,47.8,3,18,1,2.0,1.3,2.2,1.8,22.7,36.1,110.7,120.2,130.2,89.4,10.8,17.8,108.3,41.8,27.6,80.6,29.2,39.4,142.2,107.6,144.6,103.8,11.4,16.8,101.4,38.6,27.8,87.0
Shaw,MCI,17.55,ARS,13.14,CRY,9.5,LEE,12.55,LEI,12.13,12.97,4.8,10.7,332,100.0,100.0,106760,1,-1,1,-1,2,2,20.4,10.7,15,Luke,False,,2022-09-01T23:30:07.039569Z,51,106760.jpg,Shaw,17.1,False,0,a,14,1,62,2006570,678713,302573,30844,2.1,12.2,1053,1,2,6,14,0,0,0,3,0,0,10,276,234.6,243.7,67.0,54.6,12,0.5224,1.32865,1.85105,11.8859,138,46,65,8,237,60,123,22,3.0,0.0,0.0,0.0,0.0,0.0,0.04465,0.0,0.11356,0.15821,1.01589,1.2,177,20,1,1,30,7,22,7,1.02564,0.51282,3,1,0,90.0,1.0,7.0,13.0,11.0,0.61,5.0,424.0,85.0,0.0,0.0,5.0,1.0,4.2,21.23,18.05,18.75,5.15,7.4,4.16,27.6,21.6,16.04,4.0,3,7,0,0.9,1.3,0.8,1.8,23.6,33.5,101.4,101.5,132.9,83.6,19.0,16.1,92.7,37.5,30.5,89.6,29.2,34.2,117.9,95.3,128.4,96.6,26.8,16.5,103.2,32.4,29.4,113.8
Mahrez,TOT,14.97,WOL,9.37,TOT,9.34,ARS,18.77,NFO,10.48,12.59,3.5,6.7,303,100.0,0.0,103025,0,0,-5,5,0,3,14.9,7.2,6,Riyad,False,,0,75,103025.jpg,Mahrez,3.4,False,0,a,13,43,42,334901,189174,562295,13285,0.9,5.6,575,2,3,2,8,0,0,0,1,0,0,4,164,162.8,279.4,254.0,69.7,6,2.4668,1.58594,4.05274,3.2351,211,90,49,40,70,44,83,57,2.0,0.0,3.0,0.0,2.0,0.0,0.38611,0.0,0.24823,0.63434,0.50636,1.25,27,14,14,6,104,48,90,28,0.93913,0.31304,6,0,1,30.0,0.0,13.0,12.0,6.0,0.32,3.0,207.0,69.0,0.0,3.0,2.0,0.4,5.81,13.67,13.57,23.28,21.17,6.67,10.87,27.0,28.8,46.13,33.67,3,18,1,2.0,1.3,2.2,1.8,22.7,36.1,110.7,120.2,130.2,89.4,10.8,17.8,108.3,41.8,27.6,80.6,29.2,39.4,142.2,107.6,144.6,103.8,11.4,16.8,101.4,38.6,27.8,87.0
Kane,ARS,21.16,FUL,9.01,MCI,10.61,LEI,10.59,WHU,9.39,12.15,7.1,8.3,427,100.0,100.0,78830,0,0,1,-1,2,4,16.1,8.8,16,Harry,True,,2022-10-08T20:30:07.678681Z,116,78830.jpg,Kane,33.4,False,0,a,18,6,127,4416099,610485,3548742,32423,0.7,10.9,1606,15,4,6,24,0,0,1,4,0,0,25,484,666.6,395.0,1056.0,211.8,18,10.4754,1.62808,12.103480000000001,20.324,2,2,20,1,2,2,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.58704,0.0,0.09124,0.67828,1.13895,1.34,4,2,6,1,4,2,10,3,1.00872,0.33624,7,0,1,90.0,0.0,1.0,18.0,18.0,0.95,5.0,450.0,90.0,0.0,0.0,5.0,1.0,11.77,26.89,37.03,21.94,58.67,8.8,10.08,32.8,38.28,17.66,44.8,5,13,0,2.4,0.8,1.6,1.0,16.2,18.6,69.3,50.9,65.9,58.0,7.1,11.0,84.6,13.7,11.5,58.0,16.4,18.1,68.9,43.8,67.8,53.8,9.4,12.7,103.6,9.1,14.8,57.4
Grealish,TOT,12.25,WOL,7.49,TOT,8.25,AVL,15.5,NFO,8.93,10.48,3.8,5.0,305,100.0,100.0,114283,0,0,-2,2,0,3,11.5,5.5,4,Jack,False,,2022-08-22T07:00:05.758441Z,68,114283.jpg,Grealish,1.3,False,0,a,13,43,42,164323,23431,416602,6686,0.7,6.2,734,1,4,4,4,0,0,0,0,0,0,2,164,146.6,261.7,256.0,66.0,8,1.7194,2.3637599999999996,4.0831599999999995,3.6459,231,98,56,47,69,43,91,63,0.0,0.0,0.0,0.0,0.0,0.0,0.21083,0.0,0.28983,0.50066,0.44704,0.49,44,21,38,19,79,38,148,49,0.98093,0.49046,6,0,1,30.0,3.0,8.0,11.0,8.0,0.5,4.0,251.0,63.0,0.0,2.0,3.0,0.6,6.0,14.91,13.33,23.79,23.27,4.25,6.12,15.0,13.95,15.4,32.75,3,18,1,2.0,1.3,2.2,1.8,22.7,36.1,110.7,120.2,130.2,89.4,10.8,17.8,108.3,41.8,27.6,80.6,29.2,39.4,142.2,107.6,144.6,103.8,11.4,16.8,101.4,38.6,27.8,87.0
Aké,MUN,12.86,WOL,6.89,TOT,7.14,ARS,15.99,NFO,8.06,10.19,3.5,4.0,308,100.0,100.0,126184,0,0,0,0,0,2,9.5,4.5,8,Nathan,False,,2022-08-22T07:00:05.769797Z,50,126184.jpg,Aké,1.8,False,0,a,13,43,38,350818,81088,297950,11292,0.8,7.6,840,0,0,4,7,0,0,0,0,0,0,3,179,151.2,69.1,69.0,29.0,10,0.2234,0.37365,0.59705,6.804,227,88,218,58,229,54,254,83,0.0,0.0,0.0,0.0,0.0,0.0,0.02394,0.0,0.04003,0.06397,0.729,0.75,190,23,67,21,98,24,126,44,1.07143,0.42857,6,1,0,90.0,3.0,7.0,11.0,9.0,0.56,4.0,360.0,90.0,0.0,1.0,4.0,0.8,2.64,16.27,13.75,6.28,6.27,3.5,3.15,16.5,14.5,12.4,4.75,4,14,0,1.4,1.0,2.0,0.8,21.0,31.6,95.5,91.0,129.9,79.2,12.0,13.7,86.4,27.8,22.3,70.3,19.8,28.3,91.4,70.7,121.0,74.2,12.2,15.7,110.2,28.6,17.2,75.4
Ederson,MUN,13.17,WOL,6.07,TOT,6.88,ARS,14.49,NFO,7.78,9.68,4.1,4.0,307,100.0,0.0,121160,0,0,-1,1,0,1,9.5,4.5,8,Ederson,False,,0,54,121160.jpg,Santana de Moraes,13.8,False,0,a,13,43,69,1235487,79311,1612760,35649,0.7,12.8,1530,0,1,7,16,0,0,0,0,0,27,5,327,291.4,13.1,0.0,30.5,17,0.0,0.21829,0.21829,12.3624,79,17,358,3,682,70,247,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58824,0.01284,0.01284,0.7272,0.94,129,4,68,7,59,10,26,4,1.0,0.41176,6,1,0,90.0,0.0,2.0,17.0,17.0,0.89,5.0,450.0,90.0,0.0,0.0,5.0,1.0,1.79,19.24,17.14,0.77,0.0,3.2,1.6,15.2,16.08,0.02,0.0,4,14,0,1.4,1.0,2.0,0.8,21.0,31.6,95.5,91.0,129.9,79.2,12.0,13.7,86.4,27.8,22.3,70.3,19.8,28.3,91.4,70.7,121.0,74.2,12.2,15.7,110.2,28.6,17.2,75.4
Wan-Bissaka,CRY,12.45,ARS,9.6,CRY,6.54,LEE,10.29,LEI,8.8,9.54,5.5,7.0,341,100.0,100.0,214590,0,0,-2,2,1,2,13.0,7.0,6,Aaron,False,,2022-10-05T11:30:06.960461Z,43,214590.jpg,Wan-Bissaka,0.8,False,0,a,14,1,22,90815,30635,54721,9039,1.6,5.1,252,0,0,3,0,0,0,0,0,0,0,3,80,45.2,52.3,18.0,11.6,3,0.0,0.18398,0.18398,1.7595,341,130,245,69,343,121,349,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06571,0.06571,0.62839,0.0,538,149,8,3,16,3,205,76,1.07143,1.07143,3,1,0,68.0,6.0,10.0,4.0,3.0,0.23,3.0,248.0,83.0,0.0,2.0,3.0,0.6,2.9,20.0,11.3,13.08,4.5,7.0,3.77,25.33,14.07,17.43,6.0,3,7,0,0.9,1.3,0.8,1.8,23.6,33.5,101.4,101.5,132.9,83.6,19.0,16.1,92.7,37.5,30.5,89.6,29.2,34.2,117.9,95.3,128.4,96.6,26.8,16.5,103.2,32.4,29.4,113.8
Rashford,MCI,12.91,ARS,9.73,CRY,6.78,LEE,9.48,LEI,8.33,9.45,5.2,9.0,335,100.0,100.0,176297,1,-1,5,-5,2,3,17.0,9.0,8,Marcus,False,,2022-09-15T22:00:06.254533Z,70,176297.jpg,Rashford,41.9,False,0,a,14,1,89,6114207,668174,2814638,37672,1.3,12.7,1346,7,3,7,17,0,0,0,2,0,0,9,239,382.8,205.4,669.0,125.8,15,5.4465,1.8201599999999998,7.266660000000001,16.2165,36,15,80,59,10,4,19,12,0.0,0.0,2.0,0.0,2.0,0.0,0.36418,0.0,0.1217,0.48588,1.08431,1.14,41,19,3,1,22,11,6,3,1.00297,0.46805,3,0,1,90.0,2.0,2.0,17.0,15.0,0.88,5.0,400.0,80.0,0.0,1.0,4.0,0.8,7.4,14.06,22.52,12.08,39.35,6.2,8.88,16.2,30.0,9.56,49.2,3,7,0,0.9,1.3,0.8,1.8,23.6,33.5,101.4,101.5,132.9,83.6,19.0,16.1,92.7,37.5,30.5,89.6,29.2,34.2,117.9,95.3,128.4,96.6,26.8,16.5,103.2,32.4,29.4,113.8
De Bruyne,TOT,10.33,WOL,6.21,TOT,4.88,AVL,15.08,NFO,7.54,8.81,5.6,2.0,301,100.0,0.0,61366,0,0,5,-5,2,3,5.5,2.5,3,Kevin,False,,0,125,61366.jpg,De Bruyne,38.2,False,0,a,13,43,96,5353944,313472,3397630,121681,0.2,7.7,1400,3,10,6,14,0,0,0,1,0,0,13,392,501.8,887.1,434.0,182.4,16,3.0746,7.95333,11.02793,10.4144,9,1,1,1,29,17,3,1,1.0,0.0,1.0,0.0,3.0,0.0,0.19765,0.0,0.51129,0.70894,0.6695,0.9,2,2,176,78,15,7,7,4,1.02857,0.38571,6,0,1,90.0,0.0,3.0,17.0,16.0,0.84,5.0,450.0,90.0,0.0,0.0,5.0,1.0,10.73,23.06,29.52,52.18,25.53,3.0,11.02,17.0,20.76,63.02,26.2,3,18,1,2.0,1.3,2.2,1.8,22.7,36.1,110.7,120.2,130.2,89.4,10.8,17.8,108.3,41.8,27.6,80.6,29.2,39.4,142.2,107.6,144.6,103.8,11.4,16.8,101.4,38.6,27.8,87.0
