web_name,opponent_36,predicted_points_36,opponent_37,predicted_points_37,opponent_38,predicted_points_38,opponent_39,predicted_points_39,opponent_40,predicted_points_40,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,X_points
Mac Allister,NEW,15.77,SOU,18.74,AVL,5.09,0.0,0.0,0,0.0,7.92,4.3,4.8,116,100.0,100.0,243016,0,0,0,0,3,3,8.6,4.8,8,Alexis,False,0,2023-01-21T18:30:07.117166Z,55,243016.jpg,Mac Allister,10.7,False,0,a,5,36,129,2894851,339757,1816089,9294,0.9,23.5,2540,10,1,9,40,1,0,0,7,0,0,18,518,691.2,623.8,694.0,201.0,28,11.85,3.78,15.63,34.68,35,15,33,25,31,17,23,16,0.0,0.0,1.0,0.0,1.0,0.0,0.42,0.0,0.13,0.55,1.23,1.42,112,61,23,12,35,17,43,12,0.99,0.32,8,0,1,90.0,2.0,7.0,30.0,26.0,0.79,5.0,385.0,77.0,0.0,1.0,4.0,0.8,6.7,17.27,23.04,20.79,23.13,4.8,8.7,18.8,24.96,32.3,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groß,ARS,15.07,MCI,16.63,AVL,5.07,0.0,0.0,0,0.0,7.35,4.3,4.2,104,100.0,75.0,60307,0,0,-1,1,3,3,7.4,3.2,2,Pascal,False,0,2023-05-04T23:30:08.893581Z,54,60307.jpg,Groß,9.4,False,0,a,5,36,137,4365531,56896,3780515,18786,0.8,25.4,2812,8,6,10,45,1,0,0,4,0,0,11,634,784.6,1100.0,506.0,239.4,32,4.89,8.03,12.92,40.17,21,10,5,4,53,33,15,10,1.0,0.0,0.0,0.0,2.0,0.0,0.16,0.0,0.26,0.42,1.29,1.44,118,63,50,27,33,16,45,13,1.02,0.32,8,0,1,90.0,0.0,5.0,32.0,30.0,0.86,4.0,360.0,90.0,0.0,1.0,4.0,0.8,7.48,19.81,24.52,34.38,15.81,5.25,9.2,28.0,33.4,41.55,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Welbeck,NEW,14.38,SOU,16.28,AVL,4.39,0.0,0.0,0,0.0,7.01,3.2,4.8,103,100.0,100.0,50175,0,0,0,0,1,4,8.6,4.8,1,Danny,False,0,2023-04-24T10:00:08.094660Z,65,50175.jpg,Welbeck,2.1,False,0,a,5,36,86,613536,43948,501338,11327,0.7,13.2,1660,6,5,6,25,0,0,0,0,0,0,5,280,361.8,324.2,739.0,142.8,19,8.07,1.55,9.62,22.5,178,17,106,11,27,12,63,14,0.0,0.0,0.0,0.0,3.0,0.0,0.44,0.0,0.08,0.52,1.22,1.36,54,23,26,7,139,19,129,18,1.03,0.33,8,0,1,45.0,5.0,12.0,27.0,18.0,0.6,5.0,242.0,48.0,1.0,2.0,2.0,0.5,5.29,10.37,13.4,12.01,27.37,4.8,7.12,18.6,27.2,15.22,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isak,LEE,18.27,LEI,10.02,CHE,5.15,0.0,0.0,0,0.0,6.69,5.0,5.0,594,100.0,100.0,219168,1,-1,0,0,2,4,11.0,5.0,2,Alexander,False,0,2023-02-01T02:00:08.516238Z,70,219168.jpg,Isak,13.6,False,0,a,15,4,90,2969067,313526,1530770,15267,0.7,12.9,1163,10,1,3,16,0,0,0,2,0,0,18,331,458.4,216.9,618.0,129.3,13,7.33,1.25,8.58,14.51,123,13,158,20,38,15,76,15,0.0,0.0,0.0,0.0,2.0,0.0,0.57,0.0,0.1,0.67,1.12,1.24,42,20,20,6,15,4,29,6,1.01,0.23,1,0,1,90.0,11.0,7.0,18.0,13.0,0.65,5.0,351.0,70.0,0.0,1.0,4.0,0.8,7.18,18.39,25.47,12.05,34.33,5.0,6.02,20.0,22.28,13.7,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estupiñán,NEW,12.32,MCI,14.83,AVL,5.46,0.0,0.0,0,0.0,6.52,3.5,3.8,586,100.0,100.0,204214,0,0,4,-4,2,2,6.6,3.8,0,Pervis,False,0,2023-02-27T17:00:09.053149Z,49,204214.jpg,Estupiñán,16.9,False,0,a,5,36,106,2878198,122061,996358,26012,0.8,21.6,2269,0,6,9,37,0,0,0,3,0,0,12,502,469.6,635.5,241.0,134.1,27,1.43,2.99,4.42,33.7,118,38,31,5,143,16,71,6,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.18,1.34,1.47,242,32,63,12,99,24,18,5,1.07,0.36,8,1,0,90.0,1.0,8.0,29.0,23.0,0.74,5.0,432.0,86.0,0.0,1.0,4.0,0.8,4.62,17.31,16.19,21.91,8.31,3.8,5.14,17.4,15.68,24.16,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilson,LEE,16.41,LEI,10.11,CHE,5.19,0.0,0.0,0,0.0,6.34,4.8,6.6,356,100.0,100.0,75115,1,-1,-4,4,3,4,14.2,6.6,2,Callum,False,0,2023-02-11T19:00:09.248232Z,71,75115.jpg,Wilson,11.0,False,0,a,15,4,130,3550306,448320,2696923,9391,0.9,18.3,1620,15,5,9,14,0,0,0,3,0,0,14,437,595.2,228.8,865.0,168.7,18,12.96,1.81,14.77,18.57,64,5,143,16,19,10,42,11,0.0,0.0,0.0,0.0,1.0,0.0,0.72,0.0,0.1,0.82,1.03,0.78,36,16,8,3,17,5,39,8,1.0,0.5,1,0,1,77.0,8.0,10.0,26.0,17.0,0.63,5.0,266.0,53.0,0.0,3.0,2.0,0.4,6.49,16.81,22.89,8.8,33.27,6.6,7.16,25.0,34.52,4.36,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willock,LEE,16.87,LEI,10.0,CHE,4.57,0.0,0.0,0,0.0,6.29,3.5,3.2,373,100.0,100.0,200089,0,0,-3,3,0,3,7.4,3.2,2,Joe,False,0,2023-02-11T22:00:09.665763Z,47,200089.jpg,Willock,1.6,False,0,a,15,4,116,368624,48736,253695,5950,0.7,24.7,2410,3,6,12,23,0,0,0,1,0,0,11,383,503.0,489.1,660.0,165.3,29,7.14,4.09,11.23,27.32,106,45,51,41,33,19,46,33,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.15,0.42,1.02,0.86,315,189,92,41,96,41,146,52,1.08,0.45,1,0,1,77.0,2.0,5.0,33.0,28.0,0.85,5.0,410.0,82.0,0.0,0.0,5.0,1.0,5.01,11.61,15.24,14.82,20.0,3.2,5.88,13.8,16.72,23.66,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Guimarães,LEE,15.06,LEI,10.22,CHE,4.28,0.0,0.0,0,0.0,5.91,3.4,2.8,374,100.0,100.0,208706,0,0,-5,5,1,3,6.6,2.8,2,Bruno,False,0,2023-02-26T23:00:08.856584Z,55,208706.jpg,Guimarães Rodriguez Moura,2.9,False,0,a,15,4,95,806514,12187,1473836,3145,0.5,17.3,2367,3,5,11,21,0,0,0,4,0,0,4,379,535.6,550.6,255.0,134.3,28,1.96,3.16,5.12,24.99,86,37,43,35,136,83,70,51,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.12,0.19,0.95,0.8,108,58,118,58,114,51,115,39,1.06,0.42,1,0,1,90.0,7.0,2.0,28.0,26.0,0.93,5.0,429.0,86.0,0.0,0.0,5.0,1.0,4.8,13.54,19.13,19.66,9.11,2.8,5.98,13.6,18.56,34.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enciso,ARS,12.17,MCI,12.77,AVL,4.17,0.0,0.0,0,0.0,5.82,2.7,4.4,125,100.0,0.0,474120,0,0,-4,4,0,4,7.8,4.4,1,Julio,False,0,0,46,474120.jpg,Enciso,1.6,False,0,a,5,36,40,220611,20226,99462,9288,1.0,8.7,519,2,3,3,7,0,0,0,1,0,0,5,125,175.2,134.1,277.0,58.4,3,2.61,0.76,3.37,8.55,309,34,229,34,121,37,239,37,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.13,0.58,1.48,1.21,339,64,39,9,197,25,148,26,0.52,0.52,8,0,1,45.0,0.0,31.0,14.0,4.0,0.11,5.0,335.0,67.0,0.0,2.0,3.0,0.6,4.17,8.93,12.51,9.58,19.79,4.4,6.56,15.6,22.2,21.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitoma,ARS,10.94,MCI,12.97,AVL,4.56,0.0,0.0,0,0.0,5.69,4.5,2.6,124,100.0,100.0,451340,0,0,6,-6,4,3,4.2,2.6,5,Kaoru,False,0,2022-10-15T09:30:07.136345Z,56,451340.jpg,Mitoma,28.2,False,0,a,5,36,125,4627578,90222,1495872,48353,0.5,22.3,1928,7,8,7,29,0,0,0,0,0,0,11,433,529.0,481.0,730.0,173.8,20,5.86,4.57,10.43,28.57,91,39,55,45,28,16,39,27,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.21,0.48,1.33,1.35,100,52,139,71,23,10,10,6,0.93,0.33,8,0,1,90.0,3.0,14.0,28.0,18.0,0.56,5.0,394.0,79.0,0.0,1.0,4.0,0.8,6.21,15.46,18.89,17.18,26.07,2.6,6.76,7.6,10.84,23.6,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
