web_name,predicted_points_6,predicted_points_7,predicted_points_8,predicted_points_9,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Salah,6.5,7.8,7.48,7.7,7.37,7.0,7.0,283,100.0,0.0,118748,0,0,0,0,1,3,8.0,8.0,10,Mohamed,True,0,0,130,118748.jpg,Salah,52.7,False,0.0,a,12,14,35,610627,98344,1169704,220708,0.5,2.7,450,2,3,1,6,0,0,0,0,0,0,5,85,148.6,247.2,221.0,61.7,20,10,2,2,10,5,4,1,0.0,0.0,0.0,0.0,2.0,0.0,15,2,8,0,0.8,1.2,0.8,1.2,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,0,1,90.0,0.0,0.0,5.0,5.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,12.34,17.0,29.72,49.44,44.2,7.0,12.34,17.0,29.72,49.44,44.2
Darwin,6.63,5.47,7.22,5.49,6.2,3.5,1.4,297,100.0,0.0,447203,0,0,-1,1,0,4,2.4,0.0,0,Darwin,False,0,2022-08-16T00:30:06.350476Z,89,447203.jpg,Núñez Ribeiro,7.0,False,0.0,a,12,14,7,512976,85676,1839872,47366,0.2,0.8,95,1,1,0,2,0,0,0,0,1,0,1,16,53.2,21.7,156.0,22.1,177,14,195,30,21,6,78,12,0.0,0.0,0.0,0.0,0.0,0.0,15,2,8,0,0.8,1.2,0.8,1.2,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,0,1,0.0,2.0,2.0,2.0,1.0,0.33,2.0,95.0,48.0,2.0,2.0,1.0,0.33,11.05,8.0,26.6,10.85,78.0,3.5,11.05,8.0,26.6,10.85,78.0
Sterling,6.54,6.05,6.94,5.18,6.18,6.4,6.4,304,100.0,0.0,103955,1,-1,0,0,1,3,6.9,6.9,8,Raheem,False,0,0,100,103955.jpg,Sterling,9.2,False,0.0,a,6,8,32,543668,233686,322686,36225,0.6,3.2,423,3,1,1,7,0,0,0,1,0,0,4,73,138.2,116.4,198.0,45.3,24,12,32,23,11,6,12,7,0.0,0.0,0.0,0.0,0.0,0.0,17,3,19,1,0.4,1.2,0.4,1.2,25.6,29.7,87.0,97.7,112.8,94.2,26.0,17.8,101.7,45.4,30.4,105.0,25.6,29.7,87.0,97.7,112.8,94.2,26.0,17.8,101.7,45.4,30.4,105.0,0,1,90.0,0.0,0.0,5.0,5.0,1.0,5.0,423.0,85.0,0.0,0.0,5.0,1.0,9.06,14.6,27.64,23.28,39.6,6.4,9.06,14.6,27.64,23.28,39.6
De Bruyne,5.15,7.19,5.69,6.48,6.13,5.6,5.6,301,100.0,0.0,61366,0,0,2,-2,1,3,6.6,7.1,1,Kevin,False,0,0,122,61366.jpg,De Bruyne,24.6,False,0.0,a,13,43,28,1282837,63375,682899,269423,0.5,2.3,376,1,3,2,5,0,0,0,0,0,0,3,109,161.2,249.2,139.0,54.9,13,5,1,1,27,21,7,3,1.0,0.0,2.0,0.0,3.0,0.0,16,2,2,0,0.8,1.8,0.8,1.8,25.6,35.8,117.7,89.7,150.0,89.8,22.6,18.2,100.7,39.2,42.0,104.6,25.6,35.8,117.7,89.7,150.0,89.8,22.6,18.2,100.7,39.2,42.0,104.6,0,1,21.0,0.0,1.0,5.0,4.0,0.8,5.0,376.0,75.0,0.0,1.0,4.0,0.8,10.98,21.8,32.24,49.84,27.8,5.6,10.98,21.8,32.24,49.84,27.8
Haaland,5.23,6.56,5.46,6.72,5.99,11.6,11.6,318,100.0,0.0,223094,1,-1,4,-4,3,4,12.6,13.1,17,Erling,True,0,0,119,223094.jpg,Haaland,74.7,False,0.0,a,13,43,58,3023075,603328,365177,11225,1.0,4.9,391,9,1,3,5,0,0,0,0,0,0,9,246,308.2,32.1,362.0,70.3,1,1,157,20,2,2,1,1,0.0,0.0,0.0,0.0,1.0,0.0,16,2,2,0,0.8,1.8,0.8,1.8,25.6,35.8,117.7,89.7,150.0,89.8,22.6,18.2,100.7,39.2,42.0,104.6,25.6,35.8,117.7,89.7,150.0,89.8,22.6,18.2,100.7,39.2,42.0,104.6,0,1,68.0,0.0,0.0,5.0,5.0,1.0,5.0,391.0,78.0,0.0,0.0,5.0,1.0,14.06,49.2,61.64,6.42,72.4,11.6,14.06,49.2,61.64,6.42,72.4
Jesus,5.63,6.15,6.15,5.89,5.96,6.4,6.4,28,100.0,0.0,205651,0,0,2,-2,1,4,6.4,6.9,6,Gabriel,False,0,0,82,205651.jpg,Fernando de Jesus,80.0,False,0.0,a,1,3,32,1436460,73731,747753,139785,0.8,3.9,430,3,3,2,4,0,0,0,2,0,0,3,106,177.6,99.9,368.0,64.6,6,5,47,4,1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2,4,14,0,1.0,1.4,1.0,1.4,26.2,41.9,122.2,134.4,163.0,103.8,16.2,14.6,88.9,23.9,32.2,77.6,26.2,41.9,122.2,134.4,163.0,103.8,16.2,14.6,88.9,23.9,32.2,77.6,0,1,87.0,0.0,0.0,5.0,5.0,1.0,5.0,430.0,86.0,0.0,0.0,5.0,1.0,12.92,21.2,35.52,19.98,73.6,6.4,12.92,21.2,35.52,19.98,73.6
Firmino,5.77,5.47,6.05,5.81,5.78,8.5,6.8,279,100.0,100.0,92217,0,0,0,0,1,4,7.8,7.8,9,Roberto,True,0,2022-08-16T00:30:06.283883Z,80,92217.jpg,Firmino,4.0,False,0.0,a,12,14,34,330013,93201,133945,39902,0.8,4.2,298,3,3,1,4,0,0,0,0,0,0,6,136,191.0,95.2,242.0,53.0,5,4,50,5,8,5,8,5,0.0,0.0,0.0,0.0,0.0,0.0,15,2,8,0,0.8,1.2,0.8,1.2,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,25.6,39.3,118.5,122.1,154.0,86.0,17.2,19.2,105.8,53.1,33.2,90.4,0,1,90.0,1.0,0.0,4.0,4.0,1.0,4.0,298.0,74.0,1.0,0.0,4.0,1.0,13.25,34.0,47.75,23.8,60.5,8.5,13.25,34.0,47.75,23.8,60.5
Son,6.23,5.48,5.56,5.66,5.73,3.0,3.0,428,100.0,0.0,85971,-1,1,-3,3,0,3,4.0,3.5,2,Son,False,0,0,117,85971.jpg,Heung-min,10.1,False,0.0,a,18,6,15,176700,15696,1363133,169727,0.3,1.3,406,0,1,2,4,0,0,0,0,0,0,0,28,53.2,106.2,184.0,34.1,178,69,40,29,15,10,32,24,1.0,0.0,3.0,0.0,3.0,0.0,19,2,9,1,1.6,1.4,1.6,1.4,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,0,1,90.0,0.0,0.0,5.0,5.0,1.0,5.0,406.0,81.0,0.0,0.0,5.0,1.0,6.82,5.6,10.64,21.24,36.8,3.0,6.82,5.6,10.64,21.24,36.8
Kulusevski,5.94,5.58,5.68,5.6,5.7,5.2,5.2,446,100.0,0.0,445044,0,0,2,-2,1,3,6.2,5.7,2,Dejan,False,0,0,82,445044.jpg,Kulusevski,14.0,False,0.0,a,18,6,26,1199952,79131,666526,109774,0.6,3.2,417,1,2,2,4,0,0,0,0,0,0,3,87,105.6,143.3,145.0,39.4,61,27,13,11,26,20,19,13,3.0,0.0,0.0,0.0,0.0,0.0,19,2,9,1,1.6,1.4,1.6,1.4,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,0,1,75.0,0.0,0.0,5.0,5.0,1.0,5.0,417.0,83.0,0.0,0.0,5.0,1.0,7.88,17.4,21.12,28.66,29.0,5.2,7.88,17.4,21.12,28.66,29.0
Kane,5.52,5.69,5.36,5.96,5.63,6.2,6.2,427,100.0,0.0,78830,0,0,-1,1,0,4,7.2,6.7,5,Harry,False,0,0,114,78830.jpg,Kane,16.8,False,0.0,a,18,6,31,580973,79641,1491430,183540,0.5,2.7,450,4,1,2,4,0,0,1,2,0,0,6,125,191.4,128.6,307.0,62.7,4,3,20,1,3,3,3,3,0.0,0.0,1.0,0.0,1.0,0.0,19,2,9,1,1.6,1.4,1.6,1.4,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,24.8,39.5,112.1,108.5,175.0,85.4,16.6,14.2,90.8,26.7,24.4,82.6,0,1,90.0,0.0,0.0,5.0,5.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,12.54,25.0,38.28,25.72,61.4,6.2,12.54,25.0,38.28,25.72,61.4
