web_name,opponent_7,predicted_points_7,opponent_8,predicted_points_8,opponent_9,predicted_points_9,opponent_10,predicted_points_10,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Salah,0,0.0,CHE,6.49,BHA,7.53,ARS,8.15,5.54,6.3,5.2,283,100.0,0.0,118748,-1,1,-1,1,1,3,6.2,6.2,3,Mohamed,False,0,0,129,118748.jpg,Salah,47.2,False,0.0,a,12,14,38,716198,56057,1756593,499150,0.4,2.9,540,2,3,2,6,0,0,0,0,0,0,5,93,163.2,284.5,262.0,71.0,23,10,2,2,10,5,4,1,0.0,0.0,0.0,0.0,2.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,0.0,6.0,6.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,11.83,15.5,27.2,47.42,43.67,5.2,12.5,11.8,24.72,52.9,47.4
Martinelli,0,0.0,BRE,5.8,TOT,6.88,LIV,6.55,4.81,6.0,5.6,19,100.0,0.0,444145,0,0,5,-5,1,3,6.1,6.1,2,Gabriel,False,0,0,65,444145.jpg,Martinelli Silva,46.6,False,0.0,a,1,3,36,3057016,245187,718149,109585,0.9,5.5,524,3,1,2,7,0,0,0,0,0,0,4,126,163.8,196.1,307.0,66.7,21,8,9,7,5,1,6,2,1.0,0.0,2.0,0.0,2.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,0.0,6.0,6.0,1.0,5.0,434.0,87.0,0.0,0.0,5.0,1.0,11.12,21.0,27.3,32.68,51.17,5.6,11.5,20.6,25.12,36.18,53.6
Jesus,0,0.0,BRE,5.6,TOT,6.71,LIV,6.28,4.65,5.5,6.2,28,100.0,0.0,205651,-1,1,1,-1,1,4,6.7,6.7,1,Gabriel,False,0,0,81,205651.jpg,Fernando de Jesus,77.0,False,0.0,a,1,3,33,1554389,88948,1098925,258546,0.8,4.1,520,3,3,2,7,0,0,0,3,0,0,3,111,188.6,154.6,390.0,73.4,14,6,23,2,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,0.0,6.0,6.0,1.0,5.0,438.0,88.0,0.0,0.0,5.0,1.0,12.23,18.5,31.43,25.77,65.0,6.2,13.7,20.8,36.24,30.28,70.4
Ødegaard,0,0.0,BRE,5.49,TOT,6.93,LIV,5.9,4.58,5.7,6.2,7,100.0,75.0,184029,-1,1,0,0,1,3,6.7,5.0,2,Martin,False,0,2022-08-31T22:30:06.412548Z,65,184029.jpg,Ødegaard,16.2,False,0.0,a,1,3,34,1259619,89301,1128534,144373,1.0,5.2,496,3,0,2,6,0,0,0,1,0,0,6,133,157.0,162.4,174.0,49.4,27,12,18,16,24,17,16,10,4.0,0.0,1.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,73.0,0.0,0.0,6.0,6.0,1.0,5.0,406.0,81.0,0.0,0.0,5.0,1.0,8.23,22.17,26.17,27.07,29.0,6.2,9.18,24.8,30.72,30.82,30.2
De Bruyne,0,0.0,WOL,5.03,MUN,7.59,SOU,5.21,4.46,5.8,5.8,301,100.0,0.0,61366,0,0,2,-2,1,3,6.3,6.8,7,Kevin,False,0,0,122,61366.jpg,De Bruyne,25.3,False,0.0,a,13,43,35,1517237,208103,883313,99337,0.5,2.9,466,1,4,2,6,0,0,0,0,0,0,5,132,186.4,314.4,159.0,65.9,16,5,1,1,31,21,7,3,1.0,0.0,1.0,0.0,3.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,1.0,6.0,5.0,0.83,5.0,379.0,76.0,0.0,1.0,4.0,0.8,10.98,22.0,31.07,52.4,26.5,5.8,11.44,21.6,32.4,54.28,27.8
Harrison,0,0.0,MUN,6.63,AVL,5.79,CRY,4.84,4.31,4.8,4.6,233,100.0,0.0,221399,1,-1,2,-2,1,3,5.1,4.6,1,Jack,False,0,0,62,221399.jpg,Harrison,5.8,False,0.0,a,11,2,29,727642,51599,305960,96836,0.7,4.7,463,1,3,1,7,0,0,0,2,0,0,5,94,157.6,223.8,120.0,50.1,25,11,5,4,50,33,12,6,1.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,45.0,0.0,1.0,6.0,5.0,0.83,5.0,373.0,75.0,0.0,1.0,4.0,0.8,8.35,15.67,26.27,37.3,20.0,4.6,7.54,13.8,24.56,29.0,22.0
Saka,0,0.0,BRE,5.3,TOT,6.23,LIV,5.46,4.25,4.7,4.4,13,100.0,0.0,223340,0,0,-2,2,0,3,4.9,4.9,7,Bukayo,False,0,0,78,223340.jpg,Saka,10.8,False,0.0,a,1,3,28,294774,49120,1311225,60028,0.6,3.6,527,1,3,2,7,0,0,0,1,0,0,1,98,114.4,168.0,213.0,49.5,73,30,14,12,15,9,15,9,2.0,0.0,0.0,0.0,1.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,0.0,6.0,6.0,1.0,5.0,437.0,87.0,0.0,0.0,5.0,1.0,8.25,16.33,19.07,28.0,35.5,4.4,9.0,17.6,22.52,32.08,35.4
Sterling,0,0.0,LIV,5.96,CRY,5.01,WOL,5.54,4.13,5.7,6.2,304,100.0,0.0,103955,0,0,0,0,1,3,6.7,6.7,2,Raheem,False,0,0,100,103955.jpg,Sterling,10.5,False,0.0,a,6,8,34,800671,160553,439880,96033,0.6,3.4,513,3,1,1,8,0,0,0,1,0,0,4,82,142.4,123.6,206.0,47.2,37,16,40,29,17,11,22,16,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,0.0,6.0,6.0,1.0,5.0,423.0,85.0,0.0,0.0,5.0,1.0,7.87,13.67,23.73,20.6,34.33,6.2,7.58,16.6,27.08,18.76,30.0
Luis Díaz,0,0.0,CHE,5.11,BHA,5.14,ARS,6.02,4.07,5.3,6.0,293,100.0,0.0,244731,0,0,2,-2,1,3,7.0,7.0,3,Luis,False,0,0,82,244731.jpg,Díaz,30.6,False,0.0,a,12,14,32,1928558,197643,961819,208796,0.7,3.9,527,3,0,2,6,0,0,0,1,0,0,4,86,142.4,75.6,267.0,48.4,36,15,81,58,9,4,18,12,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,90.0,0.0,0.0,6.0,6.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,8.07,14.33,23.73,12.6,44.5,6.0,9.18,17.0,28.48,14.44,48.6
Rashford,0,0.0,LEE,5.14,MCI,5.57,EVE,5.16,3.97,6.7,7.6,335,100.0,0.0,176297,1,-1,0,0,1,3,7.6,7.1,18,Marcus,True,0,0,65,176297.jpg,Rashford,17.0,False,0.0,a,14,1,40,1473764,911351,916095,38375,1.2,6.2,520,3,2,2,8,0,0,0,1,0,0,6,112,165.6,97.5,211.0,47.5,20,7,58,41,16,10,21,15,0.0,0.0,0.0,0.0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,79.0,0.0,0.0,6.0,6.0,1.0,5.0,430.0,86.0,0.0,0.0,5.0,1.0,7.92,18.67,27.6,16.25,35.17,7.6,8.5,22.6,32.76,16.9,35.2
