chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
100.0,0.0,58822,0,0,0,0,0,2,2.3,0.0,0,Cédric,0.0,1,False,0,0,45,58822.jpg,2.3,Alves Soares,0.3,False,0.0,a,1,3,48,0,0,0,0,0.0,10.7,Cédric,1481,1,1,3,27,0,0,0,3,0,0,3,292,318.4,327.1,111.0,75.8,203,80,113,24,237,79,197,62,2.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,90.0,5.0,19.0,20.0,14.0,0.42,6.0,423.0,70.0,0.0,1.0,4.0,0.8,3.15,14.6,12.3,15.32,3.8,3.33,1.68,13.33,5.77,9.58,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,80201,0,0,0,0,0,1,2.7,0.0,0,Bernd,0.0,2,False,0,0,45,80201.jpg,2.5,Leno,0.6,False,0.0,a,1,3,10,0,0,0,0,0.0,2.2,Leno,360,0,0,1,9,0,0,0,0,0,10,0,69,85.0,0.0,0.0,8.5,319,23,408,37,394,27,343,24,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,29.0,4.0,4.0,0.12,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.12,17.25,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,84450,0,0,0,0,0,3,2.0,0.0,0,Granit,0.0,3,False,0,0,50,84450.jpg,2.2,Xhaka,0.4,False,0.0,a,1,3,60,0,0,0,0,0.0,12.0,Xhaka,2327,1,2,6,38,0,0,0,10,1,0,3,334,395.4,522.9,262.0,118.2,162,61,54,39,147,84,101,62,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,62.0,11.0,5.0,27.0,22.0,0.81,6.0,512.0,85.0,0.0,0.0,5.0,1.0,4.17,12.37,14.16,18.13,9.37,2.5,4.35,14.17,17.3,21.25,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,153256,0,0,0,0,0,3,1.5,0.0,0,Mohamed,0.0,4,False,0,0,45,153256.jpg,1.9,Elneny,1.7,False,0.0,a,1,3,27,0,0,0,0,0.0,6.0,Elneny,801,0,2,0,17,0,0,0,1,0,0,0,156,163.2,131.5,49.0,34.4,282,118,216,124,288,143,284,129,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,90.0,5.0,26.0,14.0,7.0,0.21,6.0,540.0,90.0,0.0,0.0,5.0,1.0,2.24,11.14,10.56,8.89,2.86,2.33,2.9,16.0,14.53,10.28,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,156074,0,0,0,0,0,2,2.3,0.0,0,Rob,0.0,5,False,0,0,45,156074.jpg,1.9,Holding,0.2,False,0.0,a,1,3,29,0,0,0,0,0.0,6.4,Holding,840,1,0,2,16,0,0,0,2,1,0,2,152,253.0,8.6,49.0,31.1,231,90,339,132,289,111,292,106,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,90.0,1.0,29.0,15.0,8.0,0.22,5.0,318.0,64.0,0.0,2.0,3.0,0.6,1.99,10.13,16.16,0.46,3.27,2.4,2.28,10.8,18.36,0.68,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,167199,0,0,0,0,0,3,2.0,0.0,0,Thomas,0.0,6,False,0,0,50,167199.jpg,3.0,Partey,0.5,False,0.0,a,1,3,71,0,0,0,0,0.0,14.2,Partey,2027,2,2,10,25,0,0,0,6,0,0,4,345,359.6,275.5,394.0,103.0,182,71,133,86,99,59,131,75,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,9.0,8.0,24.0,21.0,0.72,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.29,14.38,14.98,11.48,16.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,184029,0,0,0,0,0,3,2.8,0.0,0,Martin,0.0,7,False,0,0,65,184029.jpg,3.6,Ødegaard,9.5,False,0.0,a,1,3,131,0,0,0,0,0.0,20.2,Ødegaard,2782,7,4,11,39,0,0,0,4,0,0,9,541,676.6,1073.2,639.0,238.2,54,20,5,4,47,28,21,13,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,90.0,1.0,8.0,36.0,28.0,0.78,6.0,540.0,90.0,0.0,0.0,5.0,1.0,6.12,15.03,17.38,28.12,15.89,2.83,5.53,15.83,11.4,27.82,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,192895,0,0,0,0,0,2,2.8,0.0,0,Kieran,0.0,8,False,0,0,50,192895.jpg,4.8,Tierney,4.1,False,0.0,a,1,3,106,0,0,0,0,0.0,21.2,Tierney,1916,1,3,11,21,0,0,0,0,0,0,11,454,365.2,335.9,198.0,90.1,177,76,107,22,182,49,169,49,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,9.0,9.0,22.0,20.0,0.69,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.1,20.64,16.6,15.27,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,195735,0,0,0,0,0,3,2.5,0.0,0,Nicolas,0.0,9,False,0,0,55,195735.jpg,2.2,Pépé,0.4,False,0.0,a,1,3,45,0,0,0,0,0.0,8.2,Pépé,681,1,4,2,9,0,0,0,0,0,0,1,127,149.4,216.9,400.0,76.3,291,124,160,99,97,57,195,97,0.0,0.0,2.0,0.0,3.0,0.0,8.0,0.0,1.0,12.0,3.0,30.0,18.0,5.0,0.14,3.0,51.0,17.0,0.0,5.0,0.0,0.0,4.0,7.06,7.08,11.38,21.72,2.0,0.57,4.67,3.13,1.2,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,198869,0,0,0,0,0,2,2.3,0.0,0,Benjamin,0.0,10,False,0,0,45,198869.jpg,3.3,White,8.2,False,0.0,a,1,3,107,0,0,0,0,0.0,23.8,White,2880,0,0,13,35,1,0,0,3,0,0,9,557,592.8,182.3,150.0,92.5,78,29,177,50,204,63,159,47,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,7.0,32.0,29.0,0.81,2.0,180.0,90.0,1.0,2.0,2.0,0.5,2.89,17.41,18.52,5.7,4.69,0.0,2.45,8.0,18.9,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
