chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0.0,0.0,37605,0,0,-3,3,0,3,0.0,0.0,0,Mesut,0.0,1,False,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,37605.jpg,0.0,Özil,0.5,False,,u,1,3,0,3441,0,54937,0,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,713,295,713,295,713,295,713,295,,,,,,
0.0,0.0,39476,0,0,-2,2,0,2,0.0,0.0,0,Sokratis,0.0,2,False,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,39476.jpg,0.0,Papastathopoulos,0.1,False,,u,1,3,0,10266,0,19142,0,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,682,240,674,241,667,238,685,240,,,,,,
100.0,50.0,41270,0,0,-1,1,0,2,0.3,0.3,0,David,0.2,3,False,,2021-05-02T16:00:26.134258Z,54,41270.jpg,2.0,Luiz Moreira Marinho,0.8,False,,a,1,3,41,77302,0,131045,0,0.0,7.6,David Luiz,1396,1,0,3,20,0,0,0,1,1,0,0,230,250.6,46.7,144.0,43.9,263,101,346,119,241,69,309,105,,,4.0,,,
100.0,100.0,54694,0,0,-7,7,3,3,4.5,5.1,3,Pierre-Emerick,4.6,4,False,,2021-04-12T08:30:26.681398Z,113,54694.jpg,4.5,Aubameyang,7.2,False,,a,1,3,131,1240132,0,3870817,0,0.4,11.6,Aubameyang,2330,10,3,10,26,1,0,0,2,0,0,11,358,489.8,325.2,802.0,161.3,132,50,115,78,36,20,55,31,,,,,1.0,
100.0,100.0,58822,0,0,-4,4,0,2,0.5,0.5,0,Cédric,0.0,5,False,,2020-09-23T09:00:14.881983Z,46,58822.jpg,2.8,Soares,0.3,False,,a,1,3,28,41602,0,66906,0,0.0,6.1,Cédric,744,0,1,2,11,0,0,0,1,0,0,3,125,110.8,114.8,66.0,29.2,363,139,248,65,328,109,356,125,,,5.0,,,
100.0,100.0,59966,0,0,-1,1,4,4,0.9,1.1,1,Alexandre,0.6,6,False,,2021-04-18T15:30:22.440237Z,84,59966.jpg,4.2,Lacazette,4.3,False,,a,1,3,129,1923218,0,1961260,0,0.1,15.4,Lacazette,1916,13,3,7,21,0,0,0,3,0,0,21,452,601.8,306.6,797.0,170.3,66,8,126,16,37,17,50,17,,,3.0,,2.0,
0.0,0.0,69140,0,0,0,0,0,2,0.0,0.0,0,Shkodran,0.0,7,False,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,69140.jpg,1.0,Mustafi,0.0,False,,u,1,3,3,13464,0,14517,0,0.0,0.6,Mustafi,45,0,0,0,1,0,0,0,0,0,0,0,16,11.6,1.0,0.0,1.3,472,177,461,176,691,245,488,180,,,,,,
100.0,100.0,80201,0,0,0,0,2,1,3.3,4.7,7,Bernd,4.2,8,False,,2021-02-02T20:30:22.406559Z,50,80201.jpg,3.7,Leno,7.3,False,,a,1,3,131,1013379,0,1112822,0,0.8,26.2,Leno,3131,0,0,11,37,1,1,0,0,1,86,11,625,693.4,0.0,2.0,69.4,47,14,695,74,448,5,232,14,,,,,,
100.0,100.0,84450,0,0,-3,3,0,3,1.5,1.7,3,Granit,1.2,9,False,,2021-05-07T00:30:25.120342Z,52,84450.jpg,2.3,Xhaka,0.4,False,,a,1,3,70,46739,0,85752,0,0.2,13.5,Xhaka,2519,1,2,10,27,0,0,0,7,1,0,1,396,433.8,291.6,132.0,86.0,169,64,137,91,254,128,187,100,,,1.0,,,
100.0,100.0,92371,0,0,-1,1,0,2,2.1,1.7,0,Pablo,1.2,10,False,,2021-01-14T22:00:26.195009Z,44,92371.jpg,3.4,Marí,0.1,False,,a,1,3,34,39642,0,35159,0,0.3,7.7,Marí,900,0,0,4,8,0,0,0,2,0,0,1,182,163.2,26.4,16.0,20.6,323,124,378,136,400,153,381,133,,,,,,
