assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,0,0,0.0,0.0,0,37605,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,0,37605.jpg,0.0,0,0,Özil,0.7,False,,n,1,3,0.0,0,3263,54,47185,2965,0.0,0.0,Özil,0
0,2,0,0,0.0,0.0,0,39476,0,0,-1,1,0.0,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,0,10195,18,17711,580,0.0,0.0,Sokratis,0
0,3,0,51,50.0,100.0,0,41270,0,0,0,0,9.8,0,2,0.8,1.7,1,David,1.7,5,0,9.7,False,66.6,319,Thigh injury - 50% chance of playing,2020-10-25T21:30:13.186040Z,55,0,0,0,41270.jpg,1.4,0,0,Luiz Moreira Marinho,1.0,False,,d,1,3,21.0,7,29494,2285,57240,9815,0.3,1.3,David Luiz,0
1,4,0,73,100.0,100.0,1,54694,-1,1,-3,3,103.1,0,3,2.0,2.0,2,Pierre-Emerick,2.0,7,1,31.4,False,93.4,540,,2020-10-08T09:00:12.305506Z,117,0,0,0,54694.jpg,3.3,0,0,Aubameyang,14.2,False,,a,1,3,117.0,20,354180,5748,2499354,168307,0.2,1.7,Aubameyang,1
0,5,0,0,100.0,100.0,0,58822,-1,1,-3,3,0.0,0,2,0.0,0.0,0,Cédric,0.0,0,0,0.0,False,0.0,0,,2020-09-23T09:00:14.881983Z,47,0,0,0,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,0,2561,195,29668,869,0.0,0.0,Cédric,0
0,6,3,79,,,1,59966,-1,1,-1,1,51.2,0,4,0.7,0.7,1,Alexandre,0.7,4,3,34.6,False,114.4,346,,,84,0,0,0,59966.jpg,4.6,0,0,Lacazette,3.6,False,,a,1,3,180.0,23,242457,3089,322521,36755,0.1,2.7,Lacazette,1
0,7,0,9,100.0,100.0,0,69140,0,0,0,0,1.0,0,2,0.3,0.3,1,Shkodran,0.3,1,0,0.9,False,7.6,41,,2020-08-15T10:00:11.331812Z,50,0,0,0,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,1,10223,240,10358,80,0.1,0.2,Mustafi,0
0,8,2,111,,,1,80201,0,0,0,0,0.0,0,1,2.3,2.3,2,Bernd,2.3,7,0,12.3,False,122.6,540,,,50,0,0,0,80201.jpg,3.2,0,15,Leno,9.1,False,,a,1,3,0.0,19,331636,6107,299317,35566,0.5,3.8,Leno,0
0,9,0,47,,,1,84450,0,0,-1,1,33.8,0,3,1.3,1.3,1,Granit,1.3,6,0,11.4,False,51.8,407,,,54,0,0,0,84450.jpg,1.7,0,0,Xhaka,0.6,False,,a,1,3,29.0,10,20580,716,45453,3124,0.2,1.9,Xhaka,1
0,10,0,0,0.0,0.0,0,92371,0,0,-1,1,0.0,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,False,0.0,0,Ankle injury - Expected back 21 Nov,2020-08-15T10:00:11.357231Z,44,0,0,0,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,0,254,18,644,48,0.0,0.0,Marí,0
