,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,,,58822,0,0,-2,2,0,2,0.5,1.0,0,Cédric,0.0,1,False,,,43,58822.jpg,0.0,Alves Soares,0.2,False,,a,1,3,0,3178,361,17110,1799,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,424,167,410,165,356,139,432,169,5.0,,3.0,,,
1,,,84450,0,0,0,0,1,3,6.0,6.5,2,Granit,5.5,3,False,,,50,84450.jpg,5.5,Xhaka,2.9,False,,a,1,3,22,266832,43046,103788,34173,1.1,4.4,Xhaka,357,1,2,2,3,0,0,0,1,0,0,2,81,105.4,99.5,48.0,25.3,36,16,26,18,94,60,41,30,,,,,,
2,25.0,,153256,0,0,-1,1,0,3,0.2,1.5,2,Mohamed,0.5,4,False,Hamstring injury - 25% chance of playing,2022-08-30T11:30:06.278675Z,44,153256.jpg,2.0,Elneny,1.2,False,,d,1,3,2,89180,10748,103725,15626,0.1,0.5,Elneny,90,0,0,0,1,0,0,0,0,0,0,0,15,4.2,3.8,0.0,0.8,317,141,250,130,387,147,325,146,,,,,,
3,,,156074,0,0,-2,2,0,2,0.7,1.2,1,Rob,0.2,5,False,,,43,156074.jpg,1.0,Holding,0.1,False,,a,1,3,1,2089,412,9609,985,0.0,0.2,Holding,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,427,170,413,168,360,143,435,172,,,,,,
4,25.0,,167199,-1,1,-1,1,0,3,0.6,3.0,0,Thomas,2.0,6,False,Thigh injury - 25% chance of playing,2022-08-27T20:00:06.313026Z,49,167199.jpg,2.7,Partey,0.4,False,,d,1,3,8,25255,397,49167,13923,0.4,1.6,Partey,270,0,0,2,2,0,0,0,0,0,0,0,39,41.2,21.5,49.0,11.2,187,74,178,102,90,57,157,85,,,4.0,,,
5,,,184029,1,-1,1,-1,1,3,8.3,8.8,10,Martin,7.8,7,True,,,66,184029.jpg,7.8,Ødegaard,19.9,False,,a,1,3,31,949356,527839,479060,33398,1.2,4.7,Ødegaard,343,3,0,2,3,0,0,0,0,0,0,6,112,137.0,77.8,113.0,32.8,14,7,49,35,30,22,20,14,4.0,,1.0,,,
6,100.0,100.0,192895,0,0,-1,1,0,2,1.7,2.2,2,Kieran,1.2,8,False,,2022-08-04T15:00:05.276574Z,49,192895.jpg,1.2,Tierney,0.9,False,,a,1,3,5,17025,6679,58785,6683,0.2,1.0,Tierney,82,0,0,0,1,0,0,0,0,0,0,0,20,19.2,16.7,8.0,4.3,252,104,193,56,235,73,273,96,,,,,,
7,0.0,0.0,195735,0,0,-2,2,0,3,0.0,0.0,0,Nicolas,0.0,9,False,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,53,195735.jpg,0.0,Pépé,0.2,False,,u,1,3,0,5198,0,30036,4877,0.0,0.0,Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,583,253,581,253,574,247,584,253,,,,,,
8,,,198869,0,0,0,0,0,2,4.0,4.5,1,Benjamin,3.5,10,False,,,45,198869.jpg,3.5,White,5.2,False,,a,1,3,14,112749,17989,195581,40082,0.8,3.1,White,328,0,0,2,3,0,0,0,2,0,0,1,72,64.0,23.4,6.0,9.3,115,45,168,47,244,76,185,57,,,,,,
9,,,205533,0,0,-3,3,0,4,1.5,2.0,1,Eddie,1.0,11,False,,,67,205533.jpg,1.0,Nketiah,0.4,False,,a,1,3,4,9619,1454,54065,4966,0.1,0.6,Nketiah,58,0,0,0,0,0,0,0,0,0,0,0,8,17.0,22.4,95.0,13.5,262,26,173,25,46,14,123,19,,,,,,
10,100.0,100.0,209289,0,0,-2,2,0,3,1.0,1.5,0,Emile,0.5,12,False,,2022-08-04T15:00:05.286949Z,58,209289.jpg,1.0,Smith Rowe,0.7,False,,a,1,3,2,14037,2605,98640,12044,0.1,0.3,Smith Rowe,22,0,0,0,0,0,0,0,0,0,0,0,12,12.4,25.0,17.0,5.4,275,120,162,96,203,109,262,116,3.0,,,,,
11,,,223340,0,0,-1,1,0,3,4.5,5.0,5,Bukayo,4.0,13,False,,,79,223340.jpg,4.0,Saka,12.3,False,,a,1,3,16,208664,19655,1064605,176270,0.5,2.0,Saka,350,0,2,2,3,0,0,0,0,0,0,0,59,55.6,106.8,112.0,27.4,143,57,19,13,31,23,35,25,2.0,,,,1.0,
12,100.0,100.0,223723,0,0,-2,2,0,2,1.0,1.5,1,Takehiro,0.5,14,False,,2022-08-04T15:00:05.298873Z,43,223723.jpg,0.7,Tomiyasu,0.9,False,,a,1,3,2,12410,2278,104486,11186,0.1,0.5,Tomiyasu,31,0,0,0,0,0,0,0,1,0,0,0,6,3.8,0.7,0.0,0.4,321,118,309,113,365,148,338,123,,,,,,
13,,,225321,0,0,0,0,0,1,4.3,4.8,2,Aaron,3.8,15,False,,,50,225321.jpg,3.8,Ramsdale,14.3,False,,a,1,3,15,312980,42824,398854,86457,0.8,3.0,Ramsdale,360,0,0,2,3,0,0,0,0,0,6,0,67,57.0,0.0,0.0,5.8,139,17,574,57,563,57,252,17,,,,,,
14,,,226597,0,0,0,0,0,2,6.5,7.0,9,Gabriel,6.0,16,True,,,50,226597.jpg,6.0,dos Santos Magalhães,9.6,False,,a,1,3,24,327838,168786,246553,31102,1.2,4.8,Gabriel,360,1,0,2,3,0,0,0,0,0,0,3,94,103.4,16.5,47.0,16.7,39,7,195,57,97,14,81,16,,,,,,
15,0.0,0.0,437626,0,0,0,0,0,2,0.0,0.0,0,Nuno,0.0,17,False,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,437626.jpg,0.0,Varela Tavares,0.0,False,,u,1,3,0,0,0,1626,97,0.0,0.0,Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,519,205,511,204,487,198,524,205,,,,,,
16,,,437742,0,0,-1,1,0,3,1.0,1.5,0,Albert,0.5,18,False,,,44,437742.jpg,1.0,Sambi Lokonga,0.3,False,,a,1,3,2,12681,2807,18313,3229,0.1,0.5,Sambi,3,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.3,0.0,0.0,465,178,323,160,414,161,473,182,,,,,,
17,,,444145,0,0,4,-4,0,3,6.5,7.0,2,Gabriel,6.0,19,False,,,64,444145.jpg,6.0,Martinelli Silva,40.1,False,,a,1,3,24,2142990,97633,478310,235760,0.9,3.8,Martinelli,344,2,1,2,3,0,0,0,0,0,0,1,84,108.4,132.3,185.0,42.5,31,14,8,7,7,3,8,4,1.0,,2.0,,2.0,
18,0.0,0.0,92371,0,0,0,0,0,2,0.0,0.0,0,Pablo,0.0,20,False,Season-long loan to Monza,2022-08-12T14:22:56.974936Z,45,92371.jpg,0.0,Marí Villar,0.0,False,,u,1,3,0,162,0,3471,214,0.0,0.0,Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,489,198,479,199,445,184,497,200,,,,,,
19,,,154043,0,0,-2,2,0,3,0.5,1.0,0,Ainsley,0.0,21,False,,,48,154043.jpg,0.0,Maitland-Niles,0.0,False,,a,1,3,0,1636,239,4437,517,0.0,0.0,Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,544,223,536,224,516,209,547,225,,,,,,
20,0.0,0.0,198849,0,0,0,0,0,3,0.0,0.0,0,Lucas,0.0,22,False,Transferred to Galatasaray,2022-08-10T10:32:07.133718Z,45,198849.jpg,0.0,Torreira di Pascua,0.2,False,,u,1,3,0,2811,0,31613,2092,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,500,195,492,199,463,181,508,199,,,,,,
21,0.0,0.0,200641,0,0,-1,1,0,3,0.0,0.0,0,Reiss,0.0,23,False,Muscle injury - Unknown return date,2022-08-12T14:00:05.551075Z,49,200641.jpg,0.0,Nelson,0.0,False,,i,1,3,0,191,20,2262,135,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561,239,555,241,542,230,564,241,,,,,,
22,,,224068,0,0,-1,1,0,1,0.5,1.0,0,Matt,0.0,24,False,,,39,224068.jpg,0.0,Turner,0.9,False,,a,1,3,0,25806,15172,32606,6126,0.0,0.0,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,361,24,344,5,288,3,367,24,,,,,,
